TIME,X,Y,Z
0.0,0.846,-0.505,9.316
0.003961384,0.923,-0.582,10.043
0.007922563,0.923,-0.582,9.928
0.011883871,0.884,-0.582,9.928
0.015845718,0.923,-0.582,9.928
0.019807506,0.923,-0.62,9.89
0.023768583,0.923,-0.582,9.928
0.02772966,0.961,-0.582,9.967
0.03169121,0.961,-0.582,9.967
0.03565275,0.961,-0.582,9.967
0.039613593,0.961,-0.582,9.967
0.043574926,1.037,-0.543,9.928
0.04753623,0.999,-0.582,9.967
0.051497925,0.999,-0.582,9.928
0.0554598,0.999,-0.582,9.967
0.059421416,0.999,-0.582,9.967
0.063383035,0.961,-0.582,9.967
0.067345135,0.999,-0.62,10.005
0.07130644,0.999,-0.582,9.928
0.07526821,0.961,-0.582,9.89
0.07922985,0.961,-0.582,9.967
0.08319185,0.999,-0.62,9.967
0.087153316,0.961,-0.582,9.89
0.09111518,0.961,-0.582,9.967
0.09507617,0.961,-0.582,9.928
0.09903786,0.961,-0.543,9.89
0.1029995,0.999,-0.582,9.928
0.1069612,0.961,-0.582,9.89
0.110922895,0.999,-0.543,9.928
0.11488469,0.961,-0.582,9.928
0.11884622,0.999,-0.582,9.928
0.122807235,0.999,-0.582,9.967
0.12676893,0.999,-0.62,9.928
0.13073063,1.037,-0.582,9.967
0.1346921,0.999,-0.582,9.967
0.13865343,1.037,-0.582,9.928
0.14261435,0.999,-0.582,10.005
0.14657559,1.037,-0.582,9.967
0.15053713,0.999,-0.582,9.89
0.15449852,1.037,-0.543,9.928
0.15845951,1.037,-0.582,9.967
0.16242093,0.999,-0.582,9.967
0.16638163,1.037,-0.62,9.967
0.17034255,0.999,-0.582,9.967
0.17430365,0.999,-0.62,9.967
0.17826466,0.999,-0.62,10.005
0.18222596,0.999,-0.62,10.005
0.1861873,0.961,-0.62,9.967
0.19014844,0.961,-0.62,9.928
0.19410968,0.999,-0.62,9.89
0.19807114,0.961,-0.62,9.928
0.20203245,0.999,-0.62,9.852
0.2059939,0.999,-0.582,9.775
0.2099553,0.961,-0.582,9.775
0.21391661,0.961,-0.582,9.852
0.21787778,0.999,-0.582,9.928
0.2218388,0.999,-0.582,10.043
0.22579987,0.961,-0.62,10.12
0.22976124,0.961,-0.582,10.12
0.23372181,0.999,-0.543,10.12
0.23768249,0.961,-0.505,10.043
0.24164334,0.999,-0.582,9.967
0.24560413,0.961,-0.505,9.89
0.24956527,0.999,-0.543,9.814
0.2535265,0.961,-0.543,9.89
0.25748783,0.999,-0.543,9.967
0.26144892,0.961,-0.582,10.005
0.26540977,0.999,-0.582,10.005
0.26937062,0.961,-0.543,10.005
0.27333128,0.999,-0.582,10.005
0.27729216,0.999,-0.582,10.005
0.2812536,0.999,-0.582,9.89
