TIME,X,Y,Z
0.0,0.54,-0.505,9.699
0.003961472,0.578,-0.582,9.967
0.007922472,0.578,-0.543,9.967
0.011883703,0.578,-0.582,9.967
0.015844395,0.578,-0.582,10.005
0.019805241,0.54,-0.582,10.043
0.023766166,0.54,-0.62,9.967
0.027726714,0.578,-0.62,10.005
0.0316871,0.578,-0.62,10.005
0.035648175,0.54,-0.62,10.005
0.039609496,0.578,-0.658,9.967
0.043570727,0.578,-0.697,9.967
0.047531802,0.54,-0.697,9.967
0.051493444,0.578,-0.697,9.967
0.05545506,0.578,-0.697,9.928
0.059416905,0.578,-0.735,9.928
0.063379,0.54,-0.697,9.967
0.06734016,0.578,-0.697,9.967
0.071301,0.54,-0.697,9.967
0.07526195,0.54,-0.697,9.928
0.07922272,0.54,-0.697,9.967
0.08318333,0.578,-0.658,9.967
0.08714428,0.578,-0.658,9.967
0.091105595,0.578,-0.62,10.005
0.09506744,0.578,-0.658,10.005
0.09902916,0.578,-0.62,9.967
0.10299109,0.616,-0.543,10.005
0.10695254,0.578,-0.582,10.005
0.11091388,0.578,-0.582,10.005
0.11487535,0.578,-0.543,10.005
0.11883696,0.616,-0.582,10.043
0.12279799,0.578,-0.543,10.005
0.12675923,0.54,-0.543,9.967
0.13072054,0.578,-0.582,9.928
0.1346814,0.578,-0.62,9.928
0.13864195,0.54,-0.62,9.967
0.14260241,0.54,-0.658,9.928
0.14656314,0.578,-0.658,9.967
0.15052482,0.54,-0.658,9.967
0.1544865,0.54,-0.697,9.967
0.15844701,0.578,-0.735,10.043
0.16240753,0.578,-0.735,9.967
0.16636832,0.616,-0.735,9.928
0.17032981,0.578,-0.735,9.89
0.17429058,0.616,-0.773,9.89
0.17825158,0.578,-0.773,9.852
0.18221307,0.616,-0.773,9.814
0.18617406,0.578,-0.773,9.852
0.19013545,0.578,-0.735,9.852
0.19409616,0.616,-0.697,9.928
0.19805692,0.616,-0.697,9.967
0.20201793,0.616,-0.658,10.043
0.20597896,0.616,-0.62,10.043
0.2099402,0.616,-0.62,10.005
0.21390173,0.654,-0.582,9.928
0.21786292,0.654,-0.582,9.89
0.22182399,0.654,-0.582,9.89
0.22578497,0.693,-0.543,9.89
0.2297463,0.731,-0.505,9.967
0.23370792,0.693,-0.505,10.043
0.23766932,0.731,-0.505,10.043
0.24163064,0.731,-0.505,10.043
0.24559195,0.731,-0.543,10.005
0.24955356,0.769,-0.543,10.005
0.2535149,0.731,-0.505,9.967
0.25747588,0.693,-0.582,9.928
0.2614379,0.693,-0.582,9.928
0.26540038,0.654,-0.62,9.852
0.26936215,0.654,-0.582,9.814
0.27332336,0.654,-0.62,9.814
0.27728537,0.616,-0.658,9.814
0.28124684,0.616,-0.62,9.89
0.28520778,0.616,-0.62,9.928
0.2891693,0.54,-0.62,9.967
0.29313064,0.54,-0.658,10.043
0.297092,0.54,-0.697,10.082
0.3010532,0.501,-0.658,10.12
0.30501467,0.501,-0.658,10.043
0.30897588,0.463,-0.658,10.005
0.31293702,0.425,-0.697,10.005
0.3168981,0.425,-0.697,9.967
0.32085887,0.425,-0.697,9.967
0.32482007,0.386,-0.697,9.89
0.32878122,0.348,-0.697,9.928
0.33274254,0.386,-0.735,9.89
0.33670345,0.348,-0.697,9.89
0.34066412,0.348,-0.658,9.967
0.3446252,0.348,-0.697,9.928
0.34858653,0.348,-0.658,10.005
0.35254773,0.425,-0.658,10.005
0.35650867,0.386,-0.62,10.005
0.36046955,0.386,-0.658,10.082
0.36443046,0.425,-0.62,10.043
0.36839116,0.425,-0.62,10.043
0.37235233,0.463,-0.62,10.005
0.37631407,0.463,-0.62,10.043
0.38027507,0.501,-0.62,10.005
0.38423625,0.578,-0.658,9.967
0.38819733,0.578,-0.62,9.928
0.3921585,0.578,-0.62,9.928
0.39612034,0.616,-0.62,9.928
0.40008172,0.654,-0.697,9.967
0.40404305,0.654,-0.697,9.967
0.4080036,0.693,-0.697,10.005
0.41196483,0.731,-0.658,10.043
0.4159255,0.731,-0.658,10.043
0.41988683,0.731,-0.697,10.005
0.4238479,0.731,-0.658,10.005
0.42781013,0.769,-0.658,10.043
0.4317719,0.769,-0.658,10.005
0.43573338,0.769,-0.658,9.967
0.43969458,0.731,-0.62,10.005
0.443656,0.693,-0.62,9.967
0.44761676,0.693,-0.62,9.967
0.45157775,0.654,-0.582,9.928
0.4555389,0.654,-0.543,9.928
0.45949963,0.616,-0.543,9.89
0.46346024,0.616,-0.543,9.89
0.46742132,0.616,-0.543,9.89
0.47138202,0.54,-0.543,9.89
0.47534302,0.578,-0.582,9.89
0.4793044,0.501,-0.62,9.89
0.48326558,0.54,-0.62,9.928
0.48722655,0.54,-0.62,9.928
0.49118748,0.54,-0.62,9.967
0.49514887,0.54,-0.658,9.967
0.49910986,0.501,-0.658,9.967
0.5030708,0.463,-0.697,10.005
0.50703156,0.501,-0.697,10.043
0.5109929,0.501,-0.697,10.005
0.51495457,0.501,-0.658,10.005
0.5189158,0.463,-0.735,10.005
0.52287656,0.463,-0.735,9.967
0.52683765,0.463,-0.735,9.967
0.5307983,0.463,-0.735,9.928
0.53475994,0.463,-0.735,9.928
0.5387213,0.463,-0.697,9.89
0.54268295,0.463,-0.697,9.852
0.54664403,0.463,-0.697,9.852
0.5506052,0.463,-0.697,9.89
0.5545671,0.501,-0.658,9.852
0.5585292,0.463,-0.658,9.89
0.5624901,0.501,-0.658,9.967
0.56645083,0.501,-0.658,9.967
0.5704118,0.463,-0.582,10.005
0.5743731,0.463,-0.582,9.967
0.57833433,0.54,-0.582,10.043
0.5822954,0.578,-0.543,10.082
0.5862563,0.616,-0.543,10.082
0.5902177,0.616,-0.543,10.082
0.59417874,0.654,-0.543,10.12
0.59813976,0.654,-0.543,10.082
0.6021012,0.654,-0.543,10.043
0.60606277,0.693,-0.582,10.082
0.61002433,0.693,-0.582,10.043
0.6139859,0.693,-0.582,10.12
0.61794734,0.731,-0.62,10.082
0.6219087,0.693,-0.658,10.005
0.62587017,0.731,-0.658,10.043
0.62983155,0.693,-0.697,9.967
0.63379323,0.693,-0.697,9.967
0.63775516,0.616,-0.697,9.967
0.6417165,0.654,-0.697,10.005
0.64567846,0.54,-0.697,10.005
0.6496403,0.54,-0.697,10.043
0.6536012,0.463,-0.697,10.005
0.6575628,0.463,-0.735,10.043
0.66152424,0.425,-0.735,10.005
0.66548604,0.386,-0.735,10.043
0.6694476,0.31,-0.735,10.043
0.6734091,0.31,-0.735,10.005
0.6773704,0.31,-0.735,10.005
0.6813312,0.31,-0.735,10.005
0.68529254,0.31,-0.697,10.005
0.68925405,0.31,-0.735,10.082
0.69321454,0.31,-0.735,10.043
0.69717497,0.31,-0.735,10.082
0.7011353,0.31,-0.773,10.082
0.7050956,0.31,-0.773,9.967
0.7090557,0.348,-0.773,9.928
0.7130162,0.31,-0.773,9.852
0.71697706,0.348,-0.85,9.775
0.72093797,0.386,-0.888,9.814
0.72489905,0.425,-0.888,9.814
0.7288596,0.463,-0.888,9.89
0.73282045,0.463,-0.888,9.928
0.736781,0.501,-0.85,9.967
0.7407418,0.54,-0.85,10.043
0.74470323,0.501,-0.811,10.082
0.7486644,0.54,-0.811,10.043
0.7526255,0.54,-0.811,10.082
0.75658613,0.54,-0.773,10.005
0.76054734,0.578,-0.735,9.967
0.7645084,0.54,-0.735,9.967
0.76846963,0.501,-0.658,9.928
0.77243066,0.501,-0.658,9.89
0.7763918,0.463,-0.62,9.89
0.7803536,0.463,-0.62,9.89
0.7843154,0.386,-0.62,9.928
0.78827673,0.386,-0.582,10.005
0.7922384,0.31,-0.582,10.043
0.79619944,0.31,-0.582,10.043
0.8001606,0.233,-0.582,10.043
0.80412173,0.233,-0.62,10.005
0.80808234,0.195,-0.62,10.005
0.81204295,0.157,-0.658,9.967
