TIME,X,Y,Z
0.0,0.195,0.107,9.928
0.003960231,0.157,0.107,9.89
0.007920721,0.195,0.107,9.967
0.011880875,0.195,0.145,9.967
0.01584103,0.157,0.145,10.005
0.019801212,0.195,0.145,9.967
0.023761444,0.195,0.145,9.928
0.02772129,0.157,0.145,9.89
0.031682383,0.157,0.183,9.967
0.03564346,0.195,0.183,9.89
0.03960446,0.195,0.183,9.928
0.04356517,0.157,0.222,9.967
0.047525555,0.195,0.222,9.928
0.051485863,0.157,0.222,9.89
0.055446263,0.195,0.222,9.928
0.05940711,0.157,0.222,9.967
0.06336742,0.118,0.222,9.928
0.06732683,0.118,0.222,9.967
0.07128645,0.157,0.26,9.928
0.075245835,0.118,0.222,9.967
0.07920592,0.118,0.222,9.928
0.08316592,0.118,0.222,9.967
0.087125465,0.08,0.222,10.005
0.09108479,0.08,0.222,9.928
0.09504472,0.118,0.222,9.89
0.09900441,0.08,0.222,9.967
0.10296406,0.08,0.183,9.967
0.1069239,0.042,0.145,9.967
0.11088429,0.003,0.183,9.967
0.11484431,0.08,0.183,9.928
0.118804,0.042,0.183,9.967
0.12276377,0.003,0.183,9.928
0.1267238,0.042,0.183,9.928
0.13068411,0.003,0.183,9.928
0.13464503,0.042,0.183,9.928
0.13860522,0.042,0.145,9.928
0.14256513,0.042,0.145,9.928
0.1465259,0.042,0.145,9.852
0.15048614,0.003,0.183,9.89
0.1544463,0.042,0.183,9.89
0.15840676,0.042,0.145,9.89
0.16236664,0.08,0.183,9.89
0.16632664,0.08,0.222,9.852
0.17028718,0.08,0.183,9.852
0.1742479,0.08,0.222,9.852
0.17820837,0.118,0.222,9.89
0.1821689,0.08,0.183,9.852
0.18612932,0.118,0.222,9.89
0.19008915,0.118,0.183,9.89
0.19404946,0.157,0.222,9.89
0.19801062,0.157,0.183,9.89
0.20197032,0.157,0.222,9.928
0.20593001,0.157,0.183,9.928
0.20988977,0.157,0.183,9.967
0.2138494,0.157,0.145,9.967
0.21780917,0.157,0.183,9.967
0.2217697,0.157,0.183,9.928
0.2257298,0.157,0.183,9.928
0.22968996,0.157,0.183,9.928
0.23364942,0.195,0.183,9.928
0.23760849,0.157,0.183,9.967
0.2415682,0.157,0.183,9.928
0.24552767,0.157,0.183,9.967
0.24948667,0.118,0.183,9.928
0.25344598,0.118,0.183,9.928
0.25740537,0.157,0.183,9.928
0.26136538,0.08,0.145,9.89
0.2653256,0.118,0.145,9.89
0.26928547,0.118,0.183,9.852
0.27324483,0.118,0.183,9.814
0.27720454,0.118,0.145,9.852
0.28116417,0.157,0.145,9.89
0.28512394,0.157,0.145,9.89
0.28908333,0.157,0.183,9.967
0.29304302,0.157,0.183,10.005
0.29700366,0.195,0.183,10.005
0.30096394,0.195,0.183,9.928
0.30492404,0.271,0.183,10.005
0.3088841,0.233,0.222,10.043
0.31284446,0.271,0.222,10.043
0.316805,0.271,0.222,10.082
0.32076553,0.31,0.183,10.043
0.32472637,0.31,0.183,9.967
0.3286874,0.271,0.145,9.928
0.33264816,0.271,0.183,9.967
0.33660877,0.271,0.145,9.852
0.34056905,0.233,0.145,9.89
0.34452945,0.233,0.145,9.928
0.34848997,0.233,0.107,9.89
0.3524503,0.195,0.145,9.89
0.3564103,0.195,0.107,9.89
0.3603707,0.195,0.107,9.89
0.3643308,0.118,0.107,9.89
0.36829123,0.157,0.145,9.928
0.3722514,0.118,0.107,9.89
0.37621233,0.118,0.145,9.928
0.3801731,0.08,0.145,9.89
0.38413417,0.08,0.145,9.928
0.38809466,0.042,0.183,9.928
0.3920552,0.08,0.183,9.928
0.39601597,0.042,0.145,9.928
0.3999769,0.042,0.222,9.89
0.40393728,0.003,0.183,9.967
0.40789816,0.003,0.183,9.928
0.41185912,-0.034,0.183,9.967
0.415821,0.003,0.222,9.89
0.41978246,-0.034,0.183,9.89
0.42374346,-0.034,0.145,9.928
0.42770407,-0.034,0.222,9.89
0.4316653,-0.034,0.183,9.89
0.43562612,-0.034,0.183,9.928
0.43958718,-0.034,0.183,9.967
0.44354734,-0.034,0.183,9.967
0.44750732,-0.034,0.183,10.005
0.45146748,0.042,0.183,9.967
0.45542732,0.042,0.183,9.967
0.4593875,0.08,0.145,10.005
0.46334782,0.118,0.183,10.005
0.46730807,0.118,0.183,10.005
0.47126806,0.195,0.183,10.005
0.47522762,0.195,0.145,10.005
0.47918767,0.233,0.145,10.005
0.48314708,0.233,0.107,9.967
0.48710692,0.271,0.107,9.967
0.49106637,0.31,0.107,9.967
0.49502608,0.31,0.107,9.928
0.49898586,0.31,0.107,9.967
0.50294584,0.31,0.145,9.928
0.50690645,0.31,0.107,9.89
0.5108667,0.348,0.068,9.928
0.51482695,0.31,0.107,9.928
0.5187872,0.31,0.107,9.928
0.52274716,0.31,0.107,9.928
0.5267067,0.31,0.145,9.928
0.5306673,0.271,0.145,9.89
0.53462785,0.271,0.145,9.928
0.53858715,0.271,0.145,9.89
0.542547,0.233,0.183,9.928
0.54650706,0.195,0.183,9.89
0.550467,0.233,0.222,9.89
0.5544264,0.195,0.145,9.852
0.55838627,0.233,0.183,9.852
0.56234586,0.195,0.183,9.852
0.5663059,0.195,0.183,9.814
0.57026565,0.195,0.183,9.852
0.5742259,0.271,0.145,9.89
0.57818604,0.195,0.183,9.89
0.5821457,0.195,0.145,9.928
0.58610624,0.195,0.145,9.967
0.59006625,0.195,0.145,10.005
0.5940268,0.195,0.145,10.043
0.59798706,0.157,0.145,10.005
0.60194725,0.195,0.145,10.043
0.605908,0.195,0.107,10.043
0.60986906,0.157,0.107,10.043
0.6138294,0.195,0.145,10.005
0.6177895,0.195,0.068,9.928
0.62175006,0.195,0.068,9.928
0.625711,0.157,0.068,9.852
0.6296717,0.195,0.068,9.852
0.6336322,0.195,0.107,9.89
0.6375926,0.157,0.068,9.89
0.6415529,0.195,0.068,9.967
0.64551336,0.157,0.068,9.967
0.64947355,0.157,0.068,10.005
0.6534337,0.195,0.068,9.967
0.6573944,0.195,0.068,9.967
0.6613555,0.195,0.068,10.005
0.66531646,0.157,0.107,9.967
0.6692767,0.157,0.107,9.967
0.6732369,0.195,0.107,10.005
0.6771971,0.233,0.068,9.967
0.6811578,0.233,0.068,10.005
0.6851181,0.233,0.068,10.005
0.6890783,0.233,0.107,10.043
0.6930382,0.195,0.068,10.082
0.6969985,0.195,0.107,10.005
0.7009586,0.195,0.107,10.043
0.704919,0.157,0.068,10.043
0.7088793,0.195,0.107,10.005
0.7128399,0.157,0.068,9.967
0.7168003,0.118,0.068,10.005
0.7207606,0.118,0.107,9.967
0.724721,0.118,0.068,9.967
0.7286814,0.157,0.107,9.967
0.73264164,0.118,0.107,9.928
0.7366012,0.118,0.068,9.928
0.7405614,0.118,0.068,9.928
0.74452156,0.157,0.107,9.967
0.7484821,0.118,0.068,9.967
0.7524429,0.157,0.107,9.967
0.7564034,0.157,0.107,10.005
0.76036316,0.157,0.107,10.005
0.7643228,0.195,0.107,9.967
0.76828265,0.157,0.107,9.967
0.7722431,0.157,0.107,10.005
0.7762038,0.157,0.107,9.967
0.7801644,0.195,0.107,9.967
0.7841249,0.195,0.107,9.928
0.78808516,0.195,0.107,9.967
0.7920458,0.195,0.107,9.89
0.79600644,0.195,0.068,9.928
0.79996717,0.233,0.068,9.89
0.80392766,0.233,0.068,9.89
0.8078876,0.233,0.068,9.928
0.81184816,0.233,0.068,9.89
0.81580824,0.271,0.068,9.89
0.8197688,0.271,0.03,9.928
0.82372946,0.271,0.068,9.89
0.8276902,0.271,0.03,9.928
0.8316506,0.31,0.107,9.928
0.8356109,0.271,-0.007,9.967
0.8395719,0.31,0.03,9.967
0.8435327,0.31,0.068,10.005
0.847494,0.31,0.068,9.967
0.85145533,0.348,0.068,9.967
0.8554163,0.31,0.107,9.967
0.8593768,0.31,0.068,9.967
0.86333716,0.31,0.107,9.928
0.86729807,0.31,0.107,10.005
0.8712582,0.271,0.068,9.967
0.87521863,0.271,0.107,9.928
0.87917864,0.271,0.107,9.89
0.88313895,0.233,0.03,9.89
0.88709915,0.271,0.068,9.89
0.89105934,0.233,0.068,9.89
0.89502,0.233,0.068,9.89
0.8989802,0.233,0.068,9.89
0.90294045,0.233,0.068,9.89
0.9069006,0.233,0.107,9.928
