TIME,X,Y,Z
0.0,-0.379,-0.735,9.775
0.003960539,-0.34,-0.773,9.928
0.007921107,-0.379,-0.773,9.967
0.011881261,-0.379,-0.811,9.928
0.015841492,-0.379,-0.773,10.005
0.019801902,-0.34,-0.773,9.967
0.023762824,-0.34,-0.773,9.967
0.027723208,-0.379,-0.773,10.005
0.031683892,-0.34,-0.811,9.967
0.03564451,-0.379,-0.811,9.928
0.039605048,-0.34,-0.85,9.967
0.043565765,-0.379,-0.773,9.928
0.0475263,-0.379,-0.811,9.89
0.05148669,-0.379,-0.773,9.967
0.055447027,-0.34,-0.811,9.928
0.059407953,-0.379,-0.811,9.928
0.063369416,-0.379,-0.811,9.928
0.06733005,-0.379,-0.773,9.967
0.07129075,-0.417,-0.735,9.928
0.0752512,-0.379,-0.735,9.928
0.07921177,-0.379,-0.773,9.928
0.08317238,-0.379,-0.773,9.967
0.08713307,-0.379,-0.773,9.967
0.09109449,-0.379,-0.773,9.967
0.09505579,-0.379,-0.773,9.967
0.09901694,-0.34,-0.773,9.967
0.10297713,-0.34,-0.735,9.967
0.106937125,-0.34,-0.773,9.967
0.11089744,-0.34,-0.773,9.967
0.11485762,-0.34,-0.773,9.928
0.11881831,-0.34,-0.773,9.967
0.122778624,-0.34,-0.773,9.967
0.12673911,-0.379,-0.773,9.967
0.13070011,-0.34,-0.773,9.967
0.13466118,-0.34,-0.773,9.967
0.13862206,-0.417,-0.773,9.928
0.14258252,-0.379,-0.811,9.967
0.14654268,-0.379,-0.811,9.928
0.15050274,-0.379,-0.811,9.967
0.15446281,-0.379,-0.811,9.89
0.15842313,-0.417,-0.773,9.928
0.16238345,-0.379,-0.773,9.967
0.16634399,-0.379,-0.811,9.967
0.17030452,-0.379,-0.811,10.043
0.17426494,-0.379,-0.773,10.043
0.17822549,-0.34,-0.811,10.043
0.18218593,-0.34,-0.773,10.043
0.18614642,-0.379,-0.811,10.005
0.19010696,-0.34,-0.811,9.928
0.19406734,-0.302,-0.85,9.89
0.19802804,-0.34,-0.811,9.852
0.20198867,-0.379,-0.811,9.89
0.20594944,-0.34,-0.811,9.89
0.20991068,-0.302,-0.811,9.852
0.21387175,-0.34,-0.811,9.89
0.21783273,-0.34,-0.811,9.89
0.2217943,-0.34,-0.773,9.967
0.22575516,-0.34,-0.735,9.967
0.22971591,-0.34,-0.735,10.005
0.23367608,-0.34,-0.697,10.005
0.23763692,-0.34,-0.697,10.005
0.24159731,-0.302,-0.735,9.928
0.24555787,-0.34,-0.658,9.967
0.24951833,-0.34,-0.697,10.005
0.2534784,-0.379,-0.697,10.005
0.2574392,-0.417,-0.658,10.043
0.26139972,-0.34,-0.697,10.043
0.26536033,-0.34,-0.697,9.89
0.26932096,-0.302,-0.735,9.852
0.2732814,-0.302,-0.735,9.775
