TIME,X,Y,Z
0.0,0.846,-0.237,9.775
0.003959755,0.846,-0.275,9.928
0.007919678,0.923,-0.275,9.967
0.011879294,0.923,-0.275,9.928
0.015839277,0.961,-0.314,9.928
0.019799892,0.923,-0.314,9.928
0.023760814,0.923,-0.275,9.928
0.02772132,0.884,-0.314,9.967
0.031681243,0.884,-0.352,9.928
0.03564163,0.923,-0.352,9.928
0.0396014,0.884,-0.352,9.928
0.04356117,0.846,-0.39,9.89
0.047521096,0.846,-0.39,9.928
0.051480927,0.769,-0.39,9.928
0.05544093,0.769,-0.352,9.928
0.05940039,0.731,-0.352,9.967
0.06336,0.731,-0.352,9.967
0.06732015,0.693,-0.314,9.967
0.07127992,0.654,-0.352,9.967
0.075240016,0.616,-0.314,9.89
0.079200014,0.578,-0.314,9.928
0.08315933,0.578,-0.314,9.89
0.087118946,0.501,-0.314,9.928
0.091080025,0.501,-0.352,9.89
0.09504133,0.501,-0.39,9.89
0.09900202,0.54,-0.39,9.967
0.102961786,0.501,-0.352,9.89
0.10692124,0.54,-0.39,9.928
0.110881545,0.54,-0.39,9.967
0.1148417,0.54,-0.39,9.89
0.11880139,0.54,-0.39,9.89
0.12276076,0.54,-0.352,9.928
0.12672037,0.54,-0.39,9.928
0.13068,0.54,-0.352,9.928
0.13463944,0.616,-0.39,9.928
0.13859937,0.616,-0.39,9.967
0.14255968,0.578,-0.352,9.967
0.14652012,0.654,-0.352,10.005
0.15048051,0.654,-0.352,10.005
0.1544406,0.693,-0.39,10.005
0.15840049,0.693,-0.39,9.967
0.16236034,0.731,-0.352,10.043
0.16632003,0.731,-0.352,9.967
0.17027956,0.769,-0.352,9.928
0.17423995,0.769,-0.352,9.967
0.17820065,0.731,-0.352,9.928
0.1821612,0.731,-0.428,10.005
0.18612143,0.693,-0.39,10.005
0.19008136,0.693,-0.39,9.967
0.19404131,0.693,-0.39,9.928
0.19800147,0.654,-0.352,10.005
0.20196147,0.654,-0.39,10.005
0.2059215,0.654,-0.39,10.005
0.20988157,0.654,-0.39,9.967
0.21384181,0.654,-0.352,10.005
0.2178016,0.616,-0.352,10.005
0.22176084,0.616,-0.352,9.928
0.22572091,0.616,-0.39,9.967
0.22968069,0.654,-0.352,9.967
0.23364146,0.654,-0.352,9.967
0.23760146,0.616,-0.352,9.967
0.24156131,0.616,-0.352,9.967
0.24552162,0.616,-0.314,9.928
0.2494813,0.616,-0.352,10.005
0.2534407,0.616,-0.314,9.928
0.25740063,0.616,-0.314,9.928
0.26136062,0.654,-0.314,9.89
0.26532048,0.616,-0.352,9.89
0.26928103,0.654,-0.314,9.89
0.2732414,0.654,-0.352,9.89
0.27720132,0.654,-0.314,9.89
0.2811611,0.693,-0.39,9.89
0.28512102,0.693,-0.352,9.928
0.28908113,0.731,-0.39,9.928
0.29304096,0.693,-0.39,9.967
0.29700118,0.731,-0.352,9.967
0.3009615,0.731,-0.352,9.928
0.30492184,0.731,-0.39,9.928
0.30888122,0.731,-0.39,9.928
0.31284046,0.731,-0.39,9.928
0.3168006,0.769,-0.39,9.967
0.3207606,0.693,-0.352,9.89
0.32472068,0.731,-0.39,9.967
0.32868046,0.731,-0.39,9.967
0.3326403,0.693,-0.39,9.928
0.33660027,0.654,-0.39,9.928
0.34056038,0.693,-0.39,9.928
0.34452108,0.654,-0.428,9.967
0.34848103,0.654,-0.39,9.928
0.35244125,0.616,-0.352,9.928
0.35640147,0.616,-0.352,9.967
0.36036178,0.654,-0.352,9.967
0.36432162,0.616,-0.39,9.928
0.36828184,0.654,-0.352,9.928
