TIME,X,Y,Z
0.0,1.152,-0.084,9.277
0.003948861,1.229,-0.122,9.928
0.007897554,1.267,-0.16,9.852
0.011847092,1.306,-0.16,9.928
0.015796246,1.306,-0.16,9.928
0.0197454,1.344,-0.199,9.928
0.023694554,1.382,-0.199,9.89
0.027643392,1.42,-0.237,9.967
0.031592313,1.42,-0.275,9.928
0.03554185,1.459,-0.275,9.89
0.039491877,1.497,-0.314,9.89
0.043441877,1.497,-0.275,9.852
0.047390953,1.497,-0.237,9.852
0.051340424,1.535,-0.237,9.775
0.055289425,1.497,-0.199,9.737
0.05923796,1.459,-0.199,9.775
0.063186884,1.497,-0.16,9.737
0.067135654,1.497,-0.16,9.775
0.07108496,1.459,-0.122,9.775
0.07503398,1.459,-0.122,9.737
0.07898321,1.42,-0.045,9.737
0.0829319,1.459,-0.007,9.699
0.08688139,1.42,0.03,9.775
0.090830475,1.497,0.03,9.775
0.09477916,1.497,0.03,9.775
0.09872802,1.497,0.03,9.775
0.102676794,1.497,0.03,9.814
0.10662541,1.497,0.068,9.814
0.11057496,1.497,-0.007,9.814
0.11452434,1.459,0.03,9.852
0.11847349,1.459,-0.007,9.852
0.122422576,1.42,0.03,9.89
0.12637196,1.42,-0.045,9.89
0.1303208,1.42,-0.045,9.89
0.13426973,1.42,-0.045,9.852
0.13821858,1.42,-0.045,9.814
0.14216797,1.459,-0.045,9.852
0.14611778,1.535,-0.007,9.814
0.150067,1.535,-0.045,9.89
0.15401578,1.612,-0.007,9.89
0.15796478,1.689,-0.007,9.928
0.16191341,1.765,0.03,9.928
0.16586226,1.803,0.03,9.89
0.16981155,1.918,0.03,9.89
0.17376,1.918,0.03,9.89
0.17770892,1.995,0.068,9.89
0.1816575,1.995,0.068,9.814
0.1856071,2.033,0.068,9.814
0.18955548,2.033,0.03,9.814
0.19350451,2.033,0.03,9.814
0.19745328,2.033,0.03,9.814
0.20140252,2.033,0.03,9.814
0.20535152,2.033,-0.007,9.852
0.20930044,2.033,-0.007,9.89
0.2132496,1.995,-0.007,9.967
0.21719892,1.995,-0.007,9.928
0.22114824,2.033,-0.007,9.89
0.225097,1.957,-0.045,9.89
0.22904594,1.957,-0.045,9.928
0.23299533,1.918,-0.045,9.89
0.23694393,1.918,-0.084,9.89
0.24089324,1.88,-0.122,9.89
0.2448424,1.842,-0.122,9.852
0.24879102,1.842,-0.084,9.852
0.2527402,1.765,-0.084,9.852
0.25668928,1.765,-0.084,9.814
0.2606386,1.765,-0.084,9.814
0.26458728,1.727,-0.045,9.814
0.26853645,1.727,-0.045,9.814
0.27248505,1.727,-0.045,9.852
0.27643445,1.765,-0.045,9.89
0.2803835,1.803,-0.007,9.852
0.2843327,1.803,-0.007,9.928
0.28828195,1.842,0.03,9.89
0.29223198,1.88,0.03,9.928
0.2961813,1.88,0.03,9.89
0.30013037,1.957,0.03,9.852
0.30408028,1.918,0.068,9.852
0.30802953,1.957,0.068,9.814
0.31197864,1.995,0.03,9.814
0.31592777,1.995,0.03,9.737
0.31987733,1.957,0.03,9.699
0.3238265,1.918,0.03,9.699
0.32777596,1.918,-0.007,9.737
0.33172473,1.88,0.03,9.775
0.33567438,1.88,0.03,9.737
0.33962414,1.803,0.068,9.737
0.343573,1.803,0.03,9.775
0.34752175,1.765,0.03,9.737
0.35147092,1.727,-0.007,9.737
0.35541984,1.689,0.03,9.737
0.35936865,1.612,0.068,9.737
0.36331725,1.612,0.068,9.775
0.36726588,1.574,0.068,9.699
0.37121475,1.574,0.068,9.737
0.37516412,1.535,0.03,9.737
0.3791129,1.497,0.068,9.737
0.38306254,1.497,0.03,9.775
0.38701162,1.459,0.03,9.699
0.39096045,1.459,0.03,9.699
0.3949097,1.459,-0.007,9.699
0.39885893,1.382,-0.007,9.699
0.40280777,1.344,-0.045,9.66
0.40675652,1.344,-0.084,9.66
0.41070506,1.267,-0.084,9.66
0.4146541,1.229,-0.084,9.737
0.41860312,1.191,-0.122,9.699
0.4225517,1.191,-0.122,9.699
0.42650005,1.191,-0.16,9.699
0.4304493,1.152,-0.199,9.737
0.43439856,1.152,-0.237,9.775
0.43834808,1.152,-0.199,9.775
0.44229725,1.191,-0.199,9.814
0.4462465,1.191,-0.237,9.814
0.45019564,1.191,-0.237,9.814
0.4541454,1.229,-0.237,9.814
0.45809427,1.267,-0.237,9.814
