TIME,X,Y,Z
0.0,1.191,-0.697,9.775
0.003962308,1.267,-0.735,9.928
0.007925092,1.267,-0.697,9.967
0.011887708,1.267,-0.735,9.967
0.015849784,1.267,-0.735,9.928
0.019811496,1.306,-0.735,9.967
0.023773804,1.267,-0.735,9.928
0.027736265,1.306,-0.735,9.928
0.031698655,1.344,-0.735,9.928
0.03566104,1.344,-0.735,9.89
0.039623424,1.306,-0.773,9.89
0.04358584,1.344,-0.773,9.928
0.047547683,1.306,-0.735,9.89
0.05151007,1.306,-0.735,9.928
0.055472486,1.306,-0.735,9.928
0.059435252,1.267,-0.735,9.89
0.06339787,1.306,-0.735,9.89
0.067360215,1.267,-0.735,9.928
0.07132307,1.267,-0.697,9.89
0.07528645,1.267,-0.735,9.89
0.07924915,1.229,-0.697,9.852
0.083211385,1.229,-0.697,9.89
0.08717339,1.229,-0.735,9.852
0.09113558,1.229,-0.735,9.852
0.09509773,1.191,-0.658,9.852
0.099059805,1.229,-0.658,9.852
0.10302168,1.191,-0.697,9.89
0.10698383,1.191,-0.658,9.89
0.110946134,1.191,-0.658,9.89
0.114907935,1.191,-0.658,9.89
0.11887001,1.191,-0.658,9.928
0.12283217,1.191,-0.658,9.852
0.1267942,1.191,-0.697,9.928
0.13075674,1.191,-0.658,9.89
0.13471882,1.152,-0.697,9.928
0.13868067,1.191,-0.697,9.928
0.14264268,1.191,-0.735,9.89
0.14660513,1.191,-0.773,9.852
0.15056746,1.229,-0.735,9.89
0.15452945,1.191,-0.773,9.89
0.15849161,1.229,-0.773,9.89
0.16245341,1.229,-0.773,9.928
0.16641472,1.229,-0.773,9.89
0.17037642,1.267,-0.811,9.928
0.17433791,1.267,-0.811,9.928
0.17829998,1.229,-0.773,9.967
0.18226221,1.267,-0.773,9.967
0.18622448,1.267,-0.773,9.967
0.19018671,1.267,-0.773,9.967
0.1941494,1.229,-0.773,9.967
0.19811258,1.267,-0.773,9.967
0.20207542,1.267,-0.735,10.005
0.20603812,1.267,-0.773,9.928
0.21000019,1.267,-0.735,9.967
0.21396203,1.267,-0.735,9.928
0.21792373,1.267,-0.697,9.928
0.22188552,1.267,-0.735,9.89
0.22584721,1.267,-0.735,9.928
0.2298093,1.267,-0.735,9.89
0.2337709,1.229,-0.735,9.89
0.23773292,1.267,-0.735,9.928
0.24169461,1.229,-0.697,9.852
0.24565685,1.229,-0.735,9.89
0.24961923,1.229,-0.735,9.928
0.2535822,1.267,-0.697,9.89
0.25754538,1.267,-0.697,9.89
0.26150787,1.229,-0.735,9.89
0.2654697,1.229,-0.697,9.89
0.26943198,1.229,-0.697,9.89
0.27339396,1.229,-0.735,9.89
0.27735648,1.267,-0.697,9.89
0.28131846,1.229,-0.735,9.89
0.2852807,1.267,-0.735,9.814
0.28924334,1.267,-0.735,9.852
0.2932053,1.191,-0.773,9.852
0.29716787,1.229,-0.735,9.852
0.30113012,1.229,-0.773,9.89
0.30509213,1.229,-0.773,9.89
0.3090542,1.229,-0.773,9.89
0.3130169,1.229,-0.773,9.928
0.31697908,1.229,-0.773,9.928
0.32094115,1.229,-0.773,9.928
0.32490313,1.229,-0.773,9.928
0.32886496,1.229,-0.811,9.89
0.3328274,1.267,-0.811,9.852
0.33678997,1.229,-0.773,9.89
0.34075275,1.229,-0.773,9.852
0.3447152,1.229,-0.773,9.89
0.34867713,1.229,-0.811,9.89
0.352639,1.229,-0.811,9.89
0.35660127,1.229,-0.811,9.967
0.3605639,1.267,-0.773,9.967
0.3645262,1.229,-0.735,10.005
0.36848846,1.267,-0.773,10.043
0.37245074,1.267,-0.773,10.043
0.376413,1.267,-0.773,10.005
0.38037562,1.267,-0.735,10.005
0.3843386,1.267,-0.811,9.967
0.38830128,1.267,-0.773,9.928
0.39226422,1.267,-0.85,9.89
0.39622676,1.229,-0.85,10.005
0.40018922,1.267,-0.811,10.005
0.40415207,1.267,-0.773,10.043
0.408115,1.229,-0.735,10.12
0.41207758,1.267,-0.773,10.158
0.4160401,1.267,-0.773,10.158
0.4200028,1.267,-0.735,10.12
0.42396596,1.229,-0.773,10.12
0.4279289,1.229,-0.735,10.082
0.4318912,1.191,-0.735,10.005
0.43585345,1.191,-0.735,10.043
0.43981528,1.191,-0.697,9.967
0.44377705,1.191,-0.735,9.928
0.44773906,1.152,-0.697,9.89
0.45170066,1.114,-0.735,9.852
0.45566252,1.152,-0.735,9.852
0.45962405,1.114,-0.735,9.852
0.46358564,1.114,-0.773,9.852
0.4675469,1.114,-0.773,9.928
0.47150886,1.152,-0.735,9.89
0.47547093,1.114,-0.735,9.928
0.47943297,1.152,-0.773,9.967
0.4833947,1.152,-0.773,9.928
0.4873563,1.152,-0.735,9.967
0.49131772,1.152,-0.773,9.928
0.49527916,1.152,-0.735,9.928
0.49924064,1.152,-0.735,9.89
0.503202,1.114,-0.773,9.89
0.50716406,1.152,-0.735,9.814
0.51112616,1.114,-0.735,9.775
0.5150883,1.152,-0.773,9.814
0.51905024,1.152,-0.773,9.814
0.5230129,1.152,-0.773,9.775
0.52697563,1.114,-0.773,9.814
0.53093785,1.114,-0.735,9.814
0.53490025,1.114,-0.811,9.775
0.538862,1.114,-0.735,9.89
0.54282427,1.076,-0.773,9.928
0.5467866,1.114,-0.811,9.928
