TIME,X,Y,Z
0.0,1.765,0.222,9.737
0.003954692,1.803,0.222,9.775
0.007909769,1.765,0.183,9.699
0.011864615,1.689,0.183,9.699
0.015819319,1.689,0.222,9.66
0.01977401,1.65,0.222,9.699
0.023728548,1.612,0.222,9.737
0.027683487,1.574,0.26,9.737
0.031638872,1.535,0.26,9.737
0.035593793,1.497,0.298,9.814
0.03954866,1.497,0.298,9.814
0.0435022,1.497,0.337,9.852
0.047457352,1.497,0.337,9.814
0.05141176,1.535,0.375,9.814
0.05536661,1.535,0.337,9.852
0.0593213,1.574,0.337,9.814
0.06327625,1.612,0.375,9.814
0.06723179,1.65,0.375,9.775
0.071187094,1.65,0.337,9.775
0.07514273,1.689,0.375,9.814
0.0790988,1.689,0.337,9.775
0.08305427,1.727,0.298,9.737
0.08700821,1.689,0.298,9.737
0.090963975,1.765,0.298,9.775
0.09491875,1.727,0.26,9.775
0.09887369,1.765,0.222,9.775
0.10282838,1.727,0.183,9.852
0.106782995,1.765,0.183,9.814
0.11073779,1.765,0.222,9.852
0.11469248,1.803,0.222,9.852
0.11864818,1.842,0.222,9.814
0.122603655,1.842,0.26,9.852
0.12655774,1.842,0.26,9.814
0.13051327,1.842,0.26,9.775
0.13446862,1.918,0.298,9.775
0.13842376,1.88,0.26,9.737
0.14237884,1.918,0.298,9.775
0.1463341,1.918,0.298,9.775
0.15028824,1.957,0.337,9.814
0.1542451,1.957,0.298,9.814
0.15820052,1.957,0.337,9.814
0.1621549,1.957,0.337,9.814
0.1661099,1.957,0.337,9.814
0.17006692,1.918,0.298,9.775
0.17402099,1.918,0.337,9.775
0.17797668,1.88,0.337,9.775
0.1819305,1.918,0.337,9.737
0.18588673,1.842,0.298,9.737
0.18984187,1.842,0.298,9.775
0.19379653,1.803,0.298,9.775
0.19775137,1.765,0.26,9.775
0.20170668,1.727,0.26,9.852
0.20566101,1.727,0.26,9.814
0.20961569,1.65,0.26,9.814
0.21357055,1.65,0.26,9.89
0.21752526,1.65,0.26,9.89
0.22147956,1.65,0.222,9.928
0.22543417,1.612,0.26,9.928
0.22938928,1.65,0.26,9.814
0.23334405,1.65,0.222,9.737
0.23729889,1.65,0.183,9.737
0.24125338,1.65,0.222,9.737
0.2452076,1.689,0.222,9.737
0.24916182,1.689,0.183,9.775
0.253116,1.727,0.222,9.814
0.2570707,1.689,0.222,9.814
0.26102555,1.803,0.183,9.852
0.26498032,1.803,0.222,9.89
0.26893532,1.842,0.26,9.852
0.2728901,1.842,0.26,9.852
0.27684486,1.88,0.26,9.814
0.28079948,1.918,0.298,9.775
0.28475448,1.918,0.298,9.775
0.2887092,1.957,0.298,9.775
0.29266295,1.995,0.298,9.814
0.2966184,1.995,0.298,9.852
0.3005736,1.957,0.298,9.814
0.30452845,1.957,0.337,9.814
0.30848375,1.957,0.298,9.814
0.3124374,1.918,0.298,9.852
0.31639278,1.88,0.298,9.852
0.3203476,1.88,0.298,9.89
0.32430285,1.88,0.26,9.928
0.32825756,1.88,0.298,9.852
0.33221287,1.842,0.298,9.89
0.33616763,1.765,0.26,9.852
0.34012273,1.765,0.26,9.814
0.34407765,1.803,0.298,9.775
0.3480329,1.765,0.26,9.775
0.35198873,1.727,0.26,9.775
0.35594404,1.765,0.222,9.814
0.3598999,1.727,0.26,9.737
0.36385557,1.765,0.26,9.775
0.36781135,1.727,0.222,9.814
0.3717666,1.765,0.26,9.775
0.37572128,1.803,0.26,9.775
0.37967658,1.803,0.222,9.814
0.38363135,1.803,0.222,9.814
0.38758668,1.803,0.222,9.852
0.3915416,1.803,0.26,9.814
0.3954967,1.803,0.26,9.852
0.39945194,1.842,0.222,9.814
0.40340686,1.88,0.26,9.814
