TIME,X,Y,Z
0.0,1.076,-1.194,9.392
0.003959308,1.076,-1.309,10.043
0.007918948,1.076,-1.271,9.967
0.011878871,1.037,-1.271,9.928
0.01583787,1.037,-1.309,9.967
0.01979703,1.037,-1.271,9.928
0.023756338,1.037,-1.271,9.89
0.027715417,0.999,-1.271,9.852
0.031674646,0.961,-1.271,9.89
0.0356338,0.961,-1.271,9.89
0.03959326,0.923,-1.309,9.89
0.043552432,0.961,-1.271,9.89
0.047511894,0.923,-1.309,9.967
0.05147113,0.961,-1.271,9.89
0.055430993,0.961,-1.271,9.928
0.059390295,0.999,-1.271,9.89
0.06335007,0.999,-1.271,9.928
0.06730963,1.037,-1.271,9.89
0.07126932,1.076,-1.271,9.928
0.07522902,1.037,-1.233,9.89
0.07918873,1.076,-1.271,9.89
0.08314858,1.076,-1.271,9.928
0.08710873,1.076,-1.271,9.89
0.09106915,1.076,-1.271,9.89
0.09502906,1.076,-1.271,9.928
0.09898976,1.076,-1.271,9.89
0.10294964,1.076,-1.271,9.89
0.10690941,1.076,-1.271,9.928
0.11086864,1.076,-1.233,9.89
0.11482866,1.076,-1.233,9.89
0.11878851,1.114,-1.271,9.928
0.12274813,1.114,-1.271,9.967
0.1267077,1.114,-1.233,9.967
0.13066746,1.114,-1.271,9.967
0.13462724,1.114,-1.271,9.967
0.13858743,1.114,-1.271,9.967
0.14254734,1.114,-1.271,9.967
0.1465065,1.114,-1.271,9.928
0.15046644,1.114,-1.309,9.852
0.15442629,1.114,-1.309,9.852
0.15838598,1.076,-1.271,9.852
0.1623458,1.076,-1.271,9.814
0.16630556,1.076,-1.233,9.814
0.17026556,1.076,-1.271,9.814
0.17422545,1.076,-1.233,9.852
0.1781857,1.037,-1.233,9.852
0.18214576,1.076,-1.233,9.852
0.18610549,1.037,-1.271,9.852
0.19006456,1.037,-1.271,9.89
0.19402388,1.037,-1.233,9.89
0.19798312,1.037,-1.233,9.89
0.20194235,1.076,-1.233,9.814
0.2059018,1.037,-1.233,9.775
0.20986174,1.037,-1.233,9.852
0.2138216,1.037,-1.233,9.928
0.21778199,1.037,-1.271,9.928
0.22174193,1.076,-1.271,9.967
0.22570163,1.076,-1.309,9.928
0.22966124,1.076,-1.271,9.928
0.23362103,1.037,-1.271,9.852
0.23758048,1.076,-1.271,9.852
0.24154001,1.076,-1.233,9.852
0.24550003,1.076,-1.271,9.775
0.24945927,1.076,-1.271,9.814
0.25341842,1.076,-1.271,9.89
0.2573775,1.037,-1.271,9.89
0.2613368,1.076,-1.233,9.967
0.26529643,1.076,-1.233,10.005
0.269256,1.076,-1.271,10.005
0.27321553,1.076,-1.271,9.928
0.27717513,1.114,-1.271,9.928
0.28113475,1.076,-1.233,9.928
0.28509468,1.076,-1.233,9.928
0.2890553,1.114,-1.233,9.89
0.29301563,1.076,-1.271,9.89
0.29697615,1.076,-1.271,9.928
0.30093616,1.076,-1.271,9.928
0.30489647,1.076,-1.271,9.89
0.30885655,1.076,-1.271,9.928
0.31281626,1.076,-1.309,9.928
0.3167768,1.037,-1.233,9.928
0.32073674,1.037,-1.271,9.89
0.32469663,1.037,-1.271,9.928
0.32865596,1.037,-1.309,9.928
0.3326159,1.037,-1.271,9.967
0.3365755,0.999,-1.271,9.967
0.3405354,1.037,-1.309,9.928
0.3444954,0.999,-1.271,9.928
0.34845617,0.999,-1.271,9.89
0.3524167,1.037,-1.271,9.89
0.3563771,1.037,-1.309,9.89
0.36033714,0.999,-1.271,9.852
0.3642968,1.037,-1.271,9.852
0.36825657,1.037,-1.233,9.89
0.3722162,1.037,-1.309,9.852
0.3761753,1.037,-1.271,9.852
0.38013464,1.076,-1.233,9.814
0.38409433,1.037,-1.233,9.89
0.3880541,1.037,-1.194,9.89
0.39201394,1.037,-1.194,9.928
0.3959734,1.076,-1.194,9.928
0.39993268,1.076,-1.194,9.928
0.4038918,1.076,-1.233,9.928
0.40785065,1.076,-1.194,9.928
0.41180992,1.076,-1.194,9.852
0.41576883,1.076,-1.194,9.89
0.41972914,1.076,-1.194,9.89
0.42368892,1.114,-1.194,9.814
0.42764795,1.076,-1.233,9.814
0.4316081,1.076,-1.194,9.852
0.43556798,1.076,-1.194,9.89
0.4395278,1.076,-1.233,9.89
0.44348732,1.076,-1.233,9.89
0.44744682,1.114,-1.233,9.928
0.45140642,1.114,-1.233,10.005
0.45536676,1.076,-1.271,9.967
0.4593266,1.114,-1.233,9.967
0.46328604,1.076,-1.271,9.928
0.46724606,1.076,-1.233,9.89
0.4712063,1.114,-1.271,9.89
0.4751657,1.076,-1.271,9.89
0.47912493,1.076,-1.233,9.852
0.48308453,1.037,-1.271,9.89
0.48704422,1.037,-1.271,9.89
0.49100378,0.999,-1.309,9.89
0.49496385,1.037,-1.271,9.89
0.49892294,0.999,-1.271,9.852
0.5028823,1.037,-1.233,9.852
0.5068417,0.999,-1.271,9.928
0.510801,1.037,-1.233,9.852
0.5147613,1.037,-1.233,9.852
0.5187214,1.037,-1.271,9.852
0.522681,1.076,-1.233,9.89
0.5266408,1.037,-1.233,9.928
0.5306007,1.076,-1.233,9.928
0.5345607,1.076,-1.271,9.928
0.5385208,1.076,-1.233,9.928
0.54248065,1.076,-1.271,9.928
0.5464406,1.076,-1.233,9.928
0.5504003,1.076,-1.271,9.967
0.55436,1.076,-1.233,9.928
0.5583204,1.076,-1.233,10.005
0.56228054,1.076,-1.271,9.967
0.5662407,1.037,-1.233,9.967
0.57020074,1.076,-1.233,9.967
0.5741604,1.076,-1.233,9.967
0.5781209,1.037,-1.271,9.928
0.5820813,1.037,-1.271,9.967
0.5860413,1.076,-1.271,9.967
0.59000117,1.076,-1.271,9.928
0.5939613,1.076,-1.271,9.967
0.5979207,1.076,-1.271,9.967
0.60188025,1.037,-1.271,9.967
0.6058398,1.076,-1.271,9.967
0.60979974,1.076,-1.271,9.928
0.6137596,1.076,-1.271,9.928
0.6177193,1.037,-1.271,9.89
0.6216791,1.076,-1.271,9.928
0.6256391,1.037,-1.233,9.89
0.62959903,1.076,-1.271,9.928
0.633559,1.037,-1.271,9.967
0.63751936,1.037,-1.271,9.928
0.6414798,1.037,-1.309,10.005
0.64544,0.999,-1.271,10.005
0.6494004,1.037,-1.271,10.005
0.65336066,1.037,-1.271,10.005
0.6573207,0.999,-1.271,9.967
0.6612807,1.037,-1.309,9.967
0.66524124,0.999,-1.309,9.928
0.66920197,1.037,-1.271,9.928
0.67316234,1.037,-1.309,9.928
0.67712206,0.999,-1.309,10.005
0.681082,0.999,-1.271,9.967
0.6850414,1.037,-1.309,9.967
0.689001,0.999,-1.271,10.005
0.6929611,1.037,-1.271,9.967
0.6969209,1.037,-1.271,9.928
0.70088124,1.037,-1.271,9.967
0.704841,0.999,-1.233,9.967
0.70880127,1.037,-1.271,9.967
0.71276146,0.999,-1.233,9.967
0.7167213,0.999,-1.271,10.005
0.7206814,0.999,-1.233,9.967
0.7246411,0.999,-1.233,10.005
0.7286007,0.961,-1.233,10.043
0.73256,0.961,-1.233,10.005
0.73651975,0.961,-1.233,10.043
0.74047935,0.961,-1.194,10.005
0.7444393,0.999,-1.271,10.005
0.748399,0.999,-1.271,10.043
0.75235975,0.961,-1.271,10.005
0.7563198,0.961,-1.271,10.005
0.76027954,0.999,-1.271,9.928
0.764239,0.923,-1.271,9.928
0.7681988,0.961,-1.309,9.928
0.7721587,0.923,-1.271,9.852
0.7761186,0.884,-1.309,9.89
0.78007853,0.884,-1.309,9.89
0.7840381,0.884,-1.271,9.852
0.78799796,0.846,-1.271,9.852
0.79195815,0.846,-1.271,9.852
0.7959185,0.846,-1.233,9.89
0.79987866,0.808,-1.194,9.89
0.8038388,0.769,-1.233,9.928
0.80779845,0.769,-1.194,9.967
0.8117584,0.769,-1.233,9.967
0.8157187,0.808,-1.194,9.967
0.81967944,0.808,-1.194,10.005
0.82363975,0.808,-1.156,9.967
0.82759947,0.769,-1.194,9.967
0.8315595,0.808,-1.194,9.928
0.8355192,0.808,-1.194,9.89
0.8394786,0.846,-1.194,9.699
0.84343773,0.846,-1.194,9.699
0.8473972,0.884,-1.156,9.737
0.8513575,0.846,-1.194,9.814
0.8553181,0.846,-1.194,9.928
0.859279,0.846,-1.194,9.928
0.8632397,0.808,-1.194,9.967
0.8672002,0.846,-1.194,9.967
0.8711606,0.808,-1.194,9.89
0.8751211,0.884,-1.156,9.928
0.87908095,0.846,-1.194,9.89
0.8830411,0.846,-1.156,9.928
0.8870007,0.846,-1.194,9.967
0.8909605,0.846,-1.194,9.967
0.89492047,0.884,-1.156,9.967
0.8988801,0.884,-1.194,9.928
0.9028398,0.884,-1.156,9.928
0.9067991,0.884,-1.156,9.89
0.9107592,0.884,-1.194,9.89
0.91471875,0.884,-1.194,9.852
0.9186785,0.846,-1.194,9.852
0.9226383,0.846,-1.194,9.852
0.92659813,0.846,-1.194,9.814
0.93055785,0.808,-1.194,9.89
0.93451756,0.808,-1.233,9.928
0.9384774,0.808,-1.233,9.967
0.9424373,0.731,-1.233,10.005
0.94639736,0.731,-1.233,10.043
0.9503574,0.693,-1.233,10.082
0.9543171,0.693,-1.233,10.043
0.9582768,0.654,-1.233,9.967
0.9622364,0.616,-1.271,9.928
0.9661963,0.616,-1.271,9.89
0.97015566,0.616,-1.271,9.852
0.97411525,0.578,-1.271,9.814
0.97807586,0.54,-1.309,9.737
0.9820354,0.54,-1.348,9.775
0.9859953,0.54,-1.386,9.775
0.9899555,0.501,-1.348,9.814
0.9939158,0.501,-1.424,9.852
