TIME,X,Y,Z
0.0,2.11,0.298,9.584
0.003958154,2.148,0.298,9.775
0.007914712,2.186,0.298,9.814
0.011871943,2.186,0.298,9.814
0.015828943,2.186,0.298,9.852
0.019785732,2.225,0.298,9.852
0.023742963,2.225,0.298,9.852
0.02769904,2.225,0.26,9.852
0.03165527,2.225,0.298,9.814
0.035611346,2.186,0.222,9.775
0.039567348,2.186,0.222,9.852
0.043523673,2.148,0.26,9.814
0.047480054,2.071,0.222,9.775
0.051436443,2.071,0.26,9.775
0.05539316,2.033,0.222,9.775
0.059350543,1.995,0.222,9.775
0.06330778,1.957,0.222,9.737
0.06726424,1.957,0.26,9.737
0.07122055,1.918,0.222,9.775
0.07517724,1.918,0.222,9.737
0.07913427,1.918,0.222,9.775
0.083090805,1.957,0.26,9.775
0.087047346,1.957,0.298,9.737
0.09100359,1.957,0.298,9.775
0.09495867,1.957,0.337,9.699
0.098915204,2.033,0.337,9.737
0.102871135,2.033,0.337,9.775
0.1068276,2.071,0.375,9.737
0.11078422,2.033,0.375,9.775
0.11474099,2.11,0.337,9.737
0.11869815,2.148,0.375,9.775
0.122654155,2.148,0.375,9.737
0.12661134,2.186,0.337,9.775
0.13056734,2.186,0.337,9.775
0.13452365,2.186,0.337,9.775
0.13847989,2.225,0.337,9.814
0.14243665,2.263,0.298,9.775
0.14639358,2.263,0.298,9.737
0.15034969,2.225,0.298,9.775
0.15430546,2.225,0.26,9.737
0.15826137,2.225,0.26,9.737
0.16221787,2.225,0.222,9.775
0.16617388,2.186,0.222,9.737
0.17012987,2.186,0.222,9.699
0.17408566,2.186,0.183,9.737
0.17804189,2.148,0.183,9.737
0.18199836,2.148,0.183,9.737
0.18595459,2.148,0.183,9.737
0.18991059,2.11,0.183,9.737
0.19386698,2.11,0.183,9.775
0.1978236,2.071,0.183,9.737
0.20177951,2.071,0.183,9.775
0.2057359,2.11,0.222,9.737
0.20969217,2.11,0.222,9.775
0.21364877,2.071,0.26,9.737
0.21760523,2.071,0.26,9.775
0.22156155,2.11,0.298,9.775
0.2255178,2.11,0.26,9.775
0.22947378,2.148,0.298,9.814
0.23343056,2.148,0.26,9.852
0.23738603,2.148,0.298,9.89
0.24134102,2.186,0.337,9.852
0.24529843,2.186,0.298,9.89
0.24925473,2.148,0.337,9.89
0.25321212,2.148,0.298,9.89
0.25716862,2.186,0.298,9.852
0.26112452,2.148,0.298,9.852
0.26508075,2.148,0.26,9.814
0.26903698,2.11,0.26,9.814
0.272993,2.071,0.26,9.814
0.2769493,2.033,0.222,9.737
0.28090537,1.995,0.183,9.814
0.2848616,1.957,0.183,9.814
0.2888176,1.918,0.183,9.814
0.29277286,1.88,0.222,9.814
0.2967286,1.88,0.222,9.814
0.30068478,1.918,0.183,9.852
0.3046412,1.88,0.183,9.814
0.30859712,1.842,0.183,9.814
0.31255335,1.88,0.183,9.967
0.3165096,1.88,0.222,9.967
0.3204661,1.918,0.222,9.967
0.32442275,1.918,0.222,9.928
0.32837886,1.918,0.222,9.928
0.3323353,1.918,0.222,9.89
0.3362918,1.957,0.222,9.928
0.34024787,1.957,0.26,9.89
0.34420386,1.957,0.222,9.814
0.34815994,1.957,0.183,9.89
0.35211572,1.957,0.222,9.852
0.3560716,1.957,0.183,9.89
0.36002743,1.957,0.145,9.89
0.36398298,1.918,0.145,9.89
0.36793897,1.918,0.183,9.89
0.37189528,1.88,0.107,9.928
0.37585124,1.88,0.145,9.928
0.37980708,1.88,0.107,9.89
0.38376322,1.88,0.107,9.928
0.38772038,1.842,0.145,9.967
0.39167684,1.803,0.107,9.928
0.3956333,1.765,0.107,10.005
0.39959008,1.803,0.145,9.967
0.40354678,1.727,0.107,9.967
0.4075035,1.689,0.107,9.928
0.4114601,1.689,0.107,9.928
0.4154168,1.65,0.068,9.967
0.41937312,1.612,0.107,9.967
0.42332935,1.574,0.107,9.967
0.42728567,1.612,0.107,10.005
0.4312421,1.535,0.107,9.967
0.43519887,1.535,0.107,10.005
0.4391559,1.535,0.107,9.967
0.44311166,1.535,0.145,10.005
0.44706783,1.497,0.145,9.967
0.45102376,1.459,0.145,9.928
