TIME,X,Y,Z
0.0,0.654,-0.926,9.737
0.003960087,0.693,-0.965,9.928
0.007920626,0.731,-0.965,9.928
0.011881011,0.731,-0.926,9.967
0.015841477,0.731,-0.926,9.967
0.019802092,0.693,-0.888,9.967
0.0237624,0.731,-0.888,9.967
0.027722964,0.731,-0.888,10.005
0.031683348,0.731,-0.85,9.967
0.035643425,0.731,-0.85,10.005
0.03960352,0.693,-0.811,9.928
0.043563597,0.693,-0.811,10.005
0.047524136,0.693,-0.85,9.967
0.051484857,0.693,-0.811,9.928
0.055444703,0.654,-0.85,9.928
0.05940455,0.654,-0.85,9.928
0.063365266,0.654,-0.85,9.967
0.0673258,0.654,-0.888,10.043
0.07128596,0.654,-0.888,9.928
0.07524613,0.616,-0.85,9.967
0.07920675,0.616,-0.926,10.005
0.083167054,0.616,-0.888,10.005
0.08712747,0.654,-0.965,10.005
0.091088004,0.616,-0.926,9.967
0.09504878,0.616,-0.965,9.928
0.09900942,0.578,-0.926,10.005
0.1029701,0.578,-1.003,9.967
0.10693041,0.616,-0.965,10.005
0.11089112,0.578,-0.965,9.967
0.11485213,0.578,-1.003,9.967
0.118812665,0.578,-0.965,9.967
0.12277275,0.578,-0.965,9.967
0.1267333,0.54,-0.965,9.967
0.1306946,0.54,-0.965,10.005
0.13465588,0.578,-0.926,9.967
0.13861656,0.578,-0.926,9.928
0.14257741,0.578,-0.926,9.967
0.14653844,0.616,-0.926,9.967
0.1504992,0.54,-0.888,9.967
0.15445958,0.616,-0.926,9.967
0.15842034,0.616,-0.888,9.928
0.16238056,0.616,-0.888,9.967
0.16634095,0.654,-0.926,9.967
0.17030144,0.654,-0.888,9.928
0.17426144,0.693,-0.888,9.967
0.17822221,0.693,-0.85,9.967
0.18218255,0.693,-0.888,9.967
0.18614323,0.693,-0.85,10.005
0.190104,0.693,-0.85,9.967
0.19406427,0.693,-0.85,10.005
0.19802466,0.654,-0.888,9.967
0.20198505,0.693,-0.85,9.967
0.20594582,0.693,-0.888,9.967
0.20990689,0.693,-0.888,9.928
0.2138679,0.693,-0.888,9.967
0.21782883,0.731,-0.888,9.928
0.22178993,0.693,-0.888,9.967
0.2257513,0.693,-0.888,10.043
0.22971256,0.693,-0.926,10.005
0.23367333,0.654,-0.926,10.005
0.2376344,0.654,-0.888,9.967
0.24159464,0.654,-0.926,10.005
0.2455554,0.654,-0.926,9.928
0.24951594,0.654,-0.926,9.89
0.2534764,0.616,-0.926,9.852
0.25743717,0.654,-0.965,9.775
0.26139757,0.654,-0.965,9.737
0.2653583,0.616,-0.965,9.814
0.26932007,0.654,-0.965,9.89
0.27328107,0.616,-0.965,10.005
0.27724198,0.654,-0.926,10.158
0.28120282,0.654,-0.888,10.158
0.28516337,0.616,-0.926,10.12
0.28912377,0.616,-0.888,10.043
0.29308447,0.616,-0.888,10.005
0.2970454,0.654,-0.888,9.967
0.30100596,0.654,-0.888,9.89
0.30496672,0.654,-0.888,9.852
0.30892804,0.654,-0.926,9.89
0.31288907,0.654,-0.85,9.967
0.31684983,0.654,-0.85,9.967
0.32081068,0.654,-0.888,9.967
0.32477176,0.654,-0.888,9.967
0.32873276,0.693,-0.888,10.005
0.33269316,0.654,-0.888,9.967
0.33665392,0.693,-0.888,9.928
0.34061533,0.731,-0.888,9.928
0.34457654,0.693,-0.926,9.89
0.34853736,0.731,-0.888,9.852
0.35249773,0.731,-0.926,9.852
0.3564582,0.731,-0.85,9.852
0.3604189,0.731,-0.85,9.928
0.36437958,0.731,-0.888,9.967
0.3683399,0.731,-0.888,10.005
0.3723003,0.731,-0.888,10.005
0.37626094,0.731,-0.85,10.043
0.38022155,0.731,-0.888,10.043
0.38418236,0.693,-0.888,10.005
0.3881429,0.693,-0.85,9.967
0.39210314,0.693,-0.85,9.967
0.39606372,0.616,-0.888,9.928
0.40002453,0.654,-0.85,9.89
0.40398526,0.654,-0.926,9.89
0.40794584,0.578,-0.926,9.928
0.41190633,0.578,-0.888,9.928
0.4158671,0.54,-0.926,9.967
0.41982803,0.54,-0.926,9.967
0.42378864,0.501,-0.888,9.967
0.42774886,0.501,-0.926,10.005
0.43170974,0.463,-0.926,10.005
0.4356701,0.463,-0.926,10.005
0.43963066,0.463,-0.965,9.967
0.4435916,0.463,-0.965,9.967
0.44755238,0.463,-0.965,9.967
0.45151284,0.463,-0.926,9.928
0.45547283,0.501,-0.926,9.928
0.4594329,0.501,-0.926,9.967
0.46339312,0.54,-0.926,9.928
0.46735415,0.501,-0.888,9.928
0.4713147,0.54,-0.926,9.928
0.47527498,0.54,-0.888,9.928
0.47923553,0.616,-0.888,9.89
0.4831959,0.654,-0.888,9.928
0.48715585,0.654,-0.926,9.89
0.49111608,0.693,-0.888,9.967
0.49507606,0.731,-0.888,9.928
0.49903613,0.731,-0.888,9.928
0.50299644,0.769,-0.888,9.967
0.506957,0.808,-0.888,9.928
0.5109182,0.808,-0.926,10.005
0.51487905,0.846,-0.888,10.005
0.51883936,0.846,-0.888,10.005
0.52279973,0.808,-0.888,9.967
0.5267604,0.846,-0.888,9.967
0.53072137,0.846,-0.926,9.967
0.5346818,0.846,-0.888,9.967
0.5386423,0.846,-0.926,9.928
0.5426036,0.808,-0.926,9.928
0.5465642,0.769,-0.926,9.928
0.5505247,0.693,-0.926,9.928
0.5544854,0.731,-0.888,9.928
0.55844575,0.693,-0.926,9.967
0.5624064,0.654,-0.888,9.967
0.56636715,0.654,-0.926,9.928
0.5703288,0.616,-0.888,10.043
0.57429004,0.616,-0.888,9.967
0.57825077,0.54,-0.888,10.005
0.5822112,0.54,-0.926,10.005
0.58617187,0.54,-0.888,10.005
0.5901331,0.501,-0.888,10.005
0.5940941,0.501,-0.926,10.005
0.5980556,0.501,-0.888,10.005
0.60201734,0.501,-0.888,10.043
0.6059783,0.463,-0.926,9.967
0.6099392,0.425,-0.926,9.967
0.6139011,0.501,-0.888,9.928
0.6178622,0.463,-0.965,9.967
0.6218228,0.425,-0.965,9.89
0.6257837,0.463,-0.965,9.89
0.62974393,0.463,-0.965,9.89
0.63370436,0.501,-0.965,9.89
0.637665,0.463,-0.965,9.967
0.6416255,0.501,-0.926,9.928
0.6455861,0.501,-0.926,9.967
0.64954674,0.578,-0.926,10.043
0.6535079,0.54,-0.965,10.043
0.6574685,0.54,-0.926,10.005
0.6614287,0.578,-0.888,10.005
0.6653895,0.578,-0.926,10.005
0.6693508,0.616,-0.888,9.967
0.6733121,0.616,-0.926,9.967
0.67727345,0.693,-0.888,9.967
0.68123424,0.654,-0.888,10.005
0.68519497,0.654,-0.888,9.967
0.68915546,0.693,-0.926,10.043
0.6931163,0.693,-0.888,10.043
0.69707704,0.654,-0.888,10.043
0.701038,0.654,-0.888,10.082
0.7049989,0.654,-0.888,10.043
0.70895964,0.654,-0.926,10.043
0.71292,0.616,-0.926,10.043
0.71688014,0.654,-0.926,10.005
0.72084,0.578,-0.926,10.005
0.72480035,0.578,-0.926,10.005
0.7287612,0.578,-0.965,9.967
0.7327211,0.578,-0.965,10.005
0.73668,0.501,-0.965,9.928
0.7406392,0.501,-0.965,9.928
0.7445991,0.501,-0.926,9.928
0.7485585,0.463,-0.926,9.967
0.75251806,0.425,-0.888,9.967
0.7564779,0.463,-0.926,9.967
0.76043767,0.463,-0.926,9.967
0.7643976,0.425,-0.888,10.005
0.7683576,0.463,-0.888,10.005
0.7723177,0.463,-0.926,9.967
0.77627766,0.425,-0.926,9.967
0.78023756,0.425,-0.888,9.928
0.7841973,0.463,-0.888,9.928
0.788157,0.463,-0.926,9.967
0.79211706,0.463,-0.926,10.005
0.79607743,0.501,-0.926,9.928
0.800038,0.501,-0.926,9.967
0.8039982,0.501,-0.926,9.928
0.807958,0.54,-0.926,9.928
0.81191814,0.578,-0.888,9.967
0.8158784,0.616,-0.926,9.967
0.8198384,0.578,-0.888,9.928
0.82379854,0.616,-0.926,10.005
0.82775885,0.654,-0.926,9.928
0.8317197,0.654,-0.965,10.005
0.8356806,0.654,-0.926,10.005
0.83964103,0.654,-0.926,9.928
0.84360117,0.654,-0.965,9.967
0.8475612,0.654,-0.926,9.967
0.85152173,0.654,-0.888,9.928
0.8554819,0.654,-0.926,9.928
0.8594421,0.616,-0.926,9.967
0.86340344,0.616,-0.888,10.005
0.8673644,0.578,-0.926,10.005
0.8713252,0.54,-0.926,10.005
0.8752861,0.54,-0.888,10.043
0.8792469,0.54,-0.888,9.967
0.8832077,0.54,-0.965,10.005
0.88716793,0.501,-0.926,9.928
0.89112884,0.463,-0.888,9.967
0.8950891,0.425,-0.888,9.928
0.89905024,0.425,-0.926,9.89
0.90301085,0.386,-0.926,9.89
0.90697104,0.386,-0.926,9.89
0.9109314,0.386,-0.926,9.89
0.9148914,0.31,-0.926,9.852
0.91885126,0.348,-0.926,9.967
0.9228116,0.348,-0.926,9.928
0.9267722,0.348,-0.926,9.967
0.93073255,0.31,-0.926,9.967
0.93469363,0.31,-0.926,9.928
0.9386548,0.348,-0.888,9.928
0.94261545,0.31,-0.888,9.967
0.9465763,0.348,-0.888,10.005
0.950538,0.348,-0.888,10.043
0.95449895,0.348,-0.888,10.005
0.9584595,0.386,-0.926,10.005
0.9624206,0.348,-0.888,9.967
0.96638155,0.386,-0.85,9.967
0.97034246,0.386,-0.926,9.967
0.97430336,0.425,-0.888,10.043
0.9782645,0.425,-0.888,10.005
0.98222554,0.386,-0.888,10.005
0.98618615,0.386,-0.926,10.005
0.9901466,0.386,-0.926,9.967
0.99410695,0.348,-0.926,9.967
0.9980672,0.348,-0.926,10.005
1.0020273,0.386,-0.926,10.005
1.005988,0.348,-0.926,10.005
1.0099488,0.31,-0.888,9.967
1.0139092,0.31,-0.926,10.005
1.0178702,0.31,-0.888,9.928
1.0218304,0.31,-0.926,9.967
1.0257906,0.31,-0.926,9.89
1.0297512,0.31,-0.888,9.967
1.0337119,0.31,-0.926,9.967
1.0376723,0.31,-0.926,10.005
1.0416329,0.271,-0.888,9.967
1.0455934,0.271,-0.926,9.967
1.0495536,0.271,-0.888,10.005
1.0535141,0.31,-0.888,10.005
1.0574749,0.271,-0.888,9.928
1.0614353,0.31,-0.888,10.005
1.0653969,0.31,-0.926,10.005
1.0693586,0.31,-0.926,9.967
1.0733196,0.31,-0.926,9.967
1.0772811,0.348,-0.926,9.967
1.0812427,0.271,-0.926,9.967
1.0852038,0.348,-0.926,10.005
1.0891644,0.348,-0.926,9.967
1.0931249,0.348,-0.965,9.928
1.0970855,0.348,-0.926,9.928
1.101046,0.386,-0.926,9.89
1.1050065,0.386,-0.965,9.89
1.1089667,0.386,-0.926,9.89
1.1129266,0.425,-0.965,9.928
1.116886,0.425,-0.965,9.89
1.1208462,0.425,-1.003,9.852
1.1248063,0.463,-0.965,9.89
1.1287662,0.463,-0.965,9.967
1.1327266,0.463,-0.926,10.005
1.1366872,0.425,-0.888,10.043
1.140648,0.463,-0.888,10.12
1.1446087,0.425,-0.926,10.043
1.1485689,0.425,-0.888,9.967
1.1525289,0.463,-0.888,9.928
1.1564887,0.463,-0.85,10.005
1.1604489,0.463,-0.85,10.043
1.1644089,0.425,-0.85,10.043
1.168369,0.425,-0.811,10.082
1.1723293,0.386,-0.85,10.082
1.17629,0.425,-0.85,10.043
1.1802515,0.425,-0.85,10.005
1.1842123,0.425,-0.85,9.928
1.1881729,0.386,-0.888,9.89
1.1921334,0.386,-0.888,9.89
1.196094,0.425,-0.888,9.852
1.2000548,0.386,-0.888,9.814
1.2040154,0.386,-0.926,9.852
1.2079756,0.348,-0.926,9.928
1.2119364,0.348,-0.926,9.852
1.2158974,0.31,-0.965,9.89
1.2198582,0.31,-0.926,9.928
1.2238187,0.271,-0.965,9.928
1.2277792,0.31,-0.926,9.967
1.2317392,0.31,-0.926,10.005
1.2357004,0.271,-0.926,9.967
1.2396606,0.271,-0.926,9.967
1.2436213,0.233,-0.926,9.928
1.2475821,0.195,-0.888,9.928
1.2515434,0.233,-0.926,9.928
1.2555038,0.195,-0.888,9.89
1.2594645,0.195,-0.888,9.928
1.2634245,0.157,-0.888,9.89
1.267385,0.195,-0.926,9.967
1.2713455,0.195,-0.926,9.967
1.2753062,0.157,-0.926,9.928
1.2792675,0.195,-0.888,9.967
1.2832288,0.195,-0.926,10.005
1.2871902,0.195,-0.888,9.967
1.2911516,0.195,-0.926,10.043
1.2951125,0.233,-0.926,10.005
1.2990735,0.233,-0.926,10.005
1.3030341,0.233,-0.926,10.005
1.3069956,0.271,-0.926,10.005
1.3109561,0.233,-0.926,10.005
1.3149171,0.271,-0.926,9.967
1.3188772,0.31,-0.926,10.005
1.3228375,0.31,-0.888,10.005
1.3267977,0.31,-0.926,10.005
1.330758,0.348,-0.926,10.005
1.3347186,0.348,-0.965,10.005
1.3386794,0.386,-0.926,10.005
1.3426403,0.386,-0.926,10.005
1.3466005,0.386,-0.926,10.005
1.3505611,0.386,-0.926,9.967
1.354522,0.386,-0.926,9.967
1.3584836,0.425,-0.965,9.967
1.3624439,0.386,-0.926,9.967
1.3664037,0.386,-0.888,9.967
1.3703642,0.425,-0.926,9.967
1.3743247,0.386,-0.926,9.967
1.3782852,0.348,-0.965,9.967
1.3822454,0.348,-0.888,9.967
1.3862056,0.348,-0.888,9.967
1.3901657,0.386,-0.926,9.928
1.3941257,0.348,-0.926,9.89
1.3980858,0.31,-0.888,9.89
1.4020462,0.31,-0.888,9.89
1.4060066,0.31,-0.888,9.928
1.4099665,0.31,-0.926,9.928
1.4139261,0.271,-0.888,9.967
1.4178864,0.31,-0.888,9.967
1.4218462,0.31,-0.888,9.967
1.4258063,0.31,-0.888,10.005
1.4297664,0.271,-0.926,9.967
1.4337271,0.271,-0.888,9.967
1.4376874,0.271,-0.888,10.005
1.441648,0.233,-0.888,10.005
1.445609,0.195,-0.888,10.043
1.4495697,0.233,-0.926,9.967
1.4535303,0.233,-0.888,9.967
1.4574904,0.195,-0.926,9.928
1.461451,0.195,-0.926,9.89
1.4654112,0.195,-0.965,9.852
1.469372,0.195,-0.965,9.89
1.4733325,0.195,-0.965,9.852
1.4772933,0.195,-0.926,9.89
1.4812535,0.195,-0.965,9.928
1.4852139,0.233,-0.926,9.928
1.489174,0.195,-0.965,10.005
1.4931344,0.233,-0.926,10.005
1.4970948,0.233,-0.926,10.043
1.5010552,0.271,-0.926,9.967
1.5050151,0.271,-0.926,9.967
1.5089757,0.271,-0.926,9.928
1.5129365,0.31,-0.888,9.89
1.5168967,0.31,-0.926,9.89
1.5208575,0.348,-0.888,9.89
1.5248183,0.31,-0.888,9.928
1.5287797,0.348,-0.888,9.967
1.5327404,0.348,-0.85,10.043
1.5367008,0.348,-0.926,10.082
1.5406615,0.386,-0.888,10.082
1.5446221,0.386,-0.888,10.043
1.5485831,0.31,-0.888,10.12
1.5525444,0.31,-0.888,10.12
1.5565051,0.31,-0.926,10.082
1.5604659,0.271,-0.926,10.082
1.5644258,0.271,-0.965,10.043
1.5683855,0.233,-0.965,10.082
1.5723453,0.195,-0.965,10.005
1.5763052,0.195,-0.965,9.928
1.5802652,0.233,-0.965,9.928
