TIME,X,Y,Z
0.0,1.037,-0.352,9.392
0.003960154,1.114,-0.39,10.043
0.00792099,1.114,-0.428,10.005
0.01188199,1.152,-0.543,10.005
0.015842067,1.114,-0.582,10.005
0.01980224,1.191,-0.62,10.043
0.023762472,1.191,-0.658,9.967
0.02772278,1.191,-0.697,10.043
0.03168287,1.191,-0.735,9.928
0.035643257,1.152,-0.773,10.005
0.03960356,1.114,-0.85,10.005
0.04356435,1.114,-0.888,9.967
0.04752527,1.114,-0.888,9.967
0.051485192,1.114,-0.888,9.967
0.05544608,1.076,-0.926,9.928
0.059406776,1.076,-0.926,9.928
0.06336831,1.076,-0.926,9.967
0.06732957,0.999,-0.926,9.967
0.071290486,0.961,-0.926,9.928
0.07525065,0.884,-0.926,9.928
0.07921114,0.846,-0.965,9.89
0.08317145,0.808,-0.926,9.89
0.0871313,0.769,-0.926,9.89
0.091092,0.731,-0.926,9.852
0.09505308,0.731,-0.926,9.852
0.09901408,0.654,-0.888,9.814
0.1029751,0.654,-0.926,9.775
0.10693534,0.616,-0.965,9.737
0.11089572,0.654,-0.888,9.737
0.114855975,0.616,-0.926,9.814
0.11881637,0.616,-0.888,9.89
0.12277652,0.654,-0.888,9.967
0.126737,0.616,-0.85,10.005
0.13069709,0.693,-0.811,10.082
0.13465753,0.693,-0.735,10.005
0.13861817,0.693,-0.697,9.967
0.14257833,0.769,-0.697,9.89
0.1465388,0.769,-0.697,9.775
0.15049946,0.769,-0.658,9.814
0.15446022,0.846,-0.658,9.928
0.15842068,0.846,-0.62,10.005
0.16238126,0.846,-0.62,10.082
0.16634172,0.923,-0.62,10.158
0.17030196,0.884,-0.582,10.12
0.17426206,0.884,-0.582,10.082
0.17822176,0.923,-0.582,10.082
0.18218169,0.923,-0.62,10.005
0.18614255,0.961,-0.582,9.967
0.19010362,0.999,-0.62,9.967
0.19406454,0.999,-0.658,9.967
0.19802527,0.999,-0.697,9.967
0.20198649,0.999,-0.697,10.005
0.20594741,0.999,-0.697,10.043
0.20990835,0.999,-0.773,10.043
0.2138692,0.999,-0.735,10.082
0.21782997,0.999,-0.735,10.158
0.22179036,0.999,-0.773,10.158
0.2257506,0.999,-0.773,10.158
0.22971189,0.923,-0.85,10.082
0.23367336,0.884,-0.85,10.005
0.23763497,0.923,-0.85,9.928
0.2415965,0.884,-0.926,9.852
0.2455586,0.808,-0.926,9.814
0.24951899,0.808,-0.965,9.814
0.25348008,0.808,-0.926,9.814
0.25744098,0.731,-0.926,9.814
0.26140213,0.769,-0.926,9.852
0.26536384,0.693,-0.926,9.852
0.2693257,0.654,-0.926,9.967
0.27328652,0.654,-0.888,9.928
0.27724746,0.616,-0.85,9.928
0.28120843,0.616,-0.85,9.967
0.28516918,0.616,-0.811,9.928
0.2891298,0.616,-0.773,9.928
0.29309088,0.616,-0.735,9.928
0.29705197,0.616,-0.735,9.852
0.30101374,0.616,-0.697,9.852
0.3049753,0.654,-0.658,9.814
0.30893677,0.654,-0.62,9.814
0.31289822,0.693,-0.582,9.737
0.31685954,0.693,-0.582,9.814
0.32082146,0.769,-0.543,9.814
0.32478273,0.769,-0.543,9.852
0.328744,0.846,-0.543,9.852
0.33270502,0.846,-0.543,9.89
0.33666563,0.923,-0.582,9.967
0.34062612,0.961,-0.582,9.967
0.34458655,0.999,-0.62,10.043
0.34854764,0.999,-0.62,10.082
0.35250852,1.037,-0.62,10.12
0.35646912,1.037,-0.697,10.082
0.36042973,1.076,-0.735,10.082
0.36439037,1.076,-0.773,10.043
0.36835104,1.076,-0.811,10.082
0.37231198,1.076,-0.85,10.12
0.37627316,1.076,-0.85,10.082
0.38023415,1.076,-0.85,10.082
0.38419497,1.076,-0.926,10.043
0.38815606,1.076,-0.888,10.082
0.39211747,1.076,-0.888,10.12
0.39607775,1.076,-0.888,10.12
0.4000381,1.037,-0.888,10.12
0.403999,1.037,-0.811,10.12
0.4079596,0.999,-0.85,10.12
0.41192073,0.923,-0.773,10.158
0.4158812,0.923,-0.811,10.197
0.41984156,0.884,-0.735,10.12
0.4238023,0.846,-0.735,10.12
0.42776293,0.808,-0.697,10.082
0.4317236,0.769,-0.658,10.082
0.4356839,0.693,-0.658,10.082
0.43964475,0.654,-0.697,10.082
0.4436056,0.654,-0.658,10.082
0.44756615,0.578,-0.658,10.043
0.4515266,0.578,-0.62,9.928
0.45548707,0.54,-0.658,9.928
0.45944843,0.54,-0.697,9.928
0.46340963,0.501,-0.697,9.852
0.46737096,0.501,-0.735,9.852
0.47133166,0.425,-0.735,9.852
0.47529334,0.425,-0.735,9.852
0.4792548,0.425,-0.811,9.89
0.4832167,0.463,-0.811,9.89
0.48717803,0.425,-0.811,9.967
0.49113873,0.425,-0.85,10.005
0.49509972,0.463,-0.85,9.967
