TIME,X,Y,Z
0.0,0.271,-0.045,9.928
0.003960868,0.271,-0.045,10.12
0.007921021,0.31,-0.045,10.197
0.011881329,0.271,-0.045,10.12
0.015841955,0.271,-0.007,10.082
0.019801877,0.271,-0.045,9.967
0.023762261,0.271,-0.045,9.852
0.027722577,0.233,-0.084,9.814
0.031682268,0.271,-0.084,9.737
0.03564219,0.233,-0.084,9.775
0.03960191,0.271,-0.084,9.814
0.043561604,0.233,-0.122,9.814
0.047521297,0.233,-0.122,9.928
0.051480684,0.233,-0.122,9.89
0.055439994,0.233,-0.122,9.967
0.059400454,0.233,-0.122,10.043
0.06336068,0.233,-0.122,10.043
0.06732069,0.195,-0.16,10.12
0.071281224,0.195,-0.16,10.005
0.07524148,0.195,-0.122,10.005
0.07920125,0.195,-0.16,10.005
0.08316086,0.195,-0.16,9.928
0.0871205,0.157,-0.16,9.928
0.09108066,0.118,-0.16,9.928
0.09504012,0.157,-0.16,9.928
0.09899968,0.118,-0.122,9.928
0.1029593,0.118,-0.16,9.928
0.10691953,0.08,-0.122,9.967
0.11088001,0.08,-0.122,9.967
0.11484024,0.08,-0.16,10.005
0.11880047,0.118,-0.122,9.967
0.12276034,0.118,-0.122,9.967
0.12672034,0.08,-0.122,9.967
0.1306808,0.118,-0.122,9.967
0.13464122,0.118,-0.122,9.928
0.1386019,0.157,-0.122,10.005
0.1425626,0.157,-0.122,10.005
0.14652286,0.195,-0.122,9.967
0.15048316,0.195,-0.16,10.005
0.15444325,0.233,-0.122,10.005
0.15840298,0.233,-0.16,10.005
0.16236259,0.233,-0.16,10.043
0.16632237,0.233,-0.122,10.005
0.17028202,0.271,-0.122,10.005
0.17424186,0.271,-0.122,9.967
0.17820156,0.271,-0.084,10.005
0.18216135,0.271,-0.16,10.005
0.18612142,0.271,-0.122,10.043
0.1900815,0.271,-0.122,10.005
0.19404145,0.271,-0.122,10.005
0.19800135,0.271,-0.122,10.005
0.20196158,0.271,-0.084,10.005
0.20592208,0.271,-0.084,10.005
0.20988223,0.271,-0.084,10.005
0.21384253,0.271,-0.084,9.967
0.21780248,0.233,-0.084,10.005
0.22176279,0.233,-0.084,9.928
0.22572292,0.271,-0.084,9.89
0.22968294,0.271,-0.084,9.89
0.23364247,0.271,-0.084,9.89
0.2376024,0.271,-0.045,9.928
0.2415625,0.271,-0.084,9.89
0.2455225,0.271,-0.045,9.89
0.24948303,0.31,-0.045,9.928
0.2534436,0.271,-0.084,9.928
0.25740352,0.271,-0.084,9.89
0.2613629,0.271,-0.122,9.967
0.26532292,0.233,-0.045,10.005
0.26928344,0.271,-0.084,10.043
0.27324313,0.271,-0.045,10.005
0.27720314,0.233,-0.084,10.043
0.28116268,0.233,-0.084,10.005
0.2851225,0.233,-0.045,10.005
0.28908262,0.233,-0.084,9.967
0.29304257,0.195,-0.084,9.967
0.29700223,0.195,-0.084,9.928
0.30096218,0.195,-0.122,9.89
0.3049218,0.195,-0.122,9.852
0.3088814,0.233,-0.122,9.852
0.31284145,0.157,-0.122,9.852
0.31680173,0.195,-0.122,9.814
0.32076198,0.195,-0.16,9.852
0.32472262,0.233,-0.122,9.89
0.32868275,0.233,-0.199,9.967
0.3326426,0.233,-0.199,9.928
0.3366027,0.195,-0.16,9.89
0.34056252,0.233,-0.16,9.928
0.34452334,0.271,-0.16,9.89
0.34848395,0.233,-0.16,9.89
0.35244393,0.271,-0.122,9.928
0.35640448,0.271,-0.122,9.967
0.36036497,0.271,-0.122,9.967
0.36432564,0.233,-0.122,10.005
0.36828572,0.233,-0.084,10.043
0.37224543,0.195,-0.122,10.043
0.37620512,0.233,-0.084,10.043
0.38016522,0.195,-0.084,10.043
0.38412553,0.195,-0.045,10.043
0.3880862,0.195,-0.084,10.043
0.39204684,0.157,-0.045,9.967
0.3960069,0.157,-0.045,9.967
0.39996722,0.157,-0.045,10.005
0.40392706,0.118,-0.045,9.967
0.40788722,0.118,-0.084,10.005
0.41184756,0.157,-0.084,9.967
0.41580793,0.157,-0.084,9.928
0.41976854,0.118,-0.122,10.005
0.42372918,0.195,-0.084,10.005
0.4276893,0.157,-0.122,10.005
0.43164957,0.157,-0.122,9.967
0.43560988,0.195,-0.122,9.967
0.43957067,0.195,-0.122,10.005
0.44353113,0.195,-0.122,9.967
0.4474922,0.195,-0.16,9.967
0.45145252,0.195,-0.16,9.928
0.45541385,0.233,-0.122,9.928
0.45937514,0.233,-0.122,9.967
0.46333656,0.195,-0.16,9.967
0.4672979,0.233,-0.16,9.967
0.47125924,0.233,-0.16,9.967
0.47521973,0.233,-0.122,10.043
0.4791807,0.233,-0.16,10.043
0.48314103,0.233,-0.122,10.005
0.487102,0.271,-0.122,10.005
0.49106327,0.233,-0.16,10.005
0.49502432,0.233,-0.16,10.043
0.49898416,0.271,-0.122,9.967
0.50294447,0.271,-0.122,10.005
0.5069044,0.31,-0.122,9.967
0.5108645,0.31,-0.122,9.967
0.51482487,0.31,-0.084,9.967
0.5187855,0.31,-0.122,9.928
0.52274626,0.271,-0.122,9.89
0.52670616,0.31,-0.122,9.928
0.5306662,0.271,-0.122,9.89
0.5346262,0.271,-0.122,9.928
0.53858554,0.271,-0.122,9.967
0.54254586,0.271,-0.084,9.967
0.5465059,0.233,-0.16,9.967
0.55046654,0.157,-0.122,10.005
0.554427,0.233,-0.122,9.928
0.5583877,0.195,-0.084,9.928
0.5623482,0.157,-0.122,9.967
0.56630856,0.118,-0.122,9.967
0.5702695,0.157,-0.122,9.89
0.57423,0.118,-0.122,9.967
0.57819045,0.08,-0.122,9.928
0.58215135,0.118,-0.122,9.928
0.58611137,0.08,-0.122,9.928
0.5900714,0.118,-0.122,9.89
0.59403116,0.118,-0.16,9.928
0.59799147,0.157,-0.16,9.89
0.60195124,0.157,-0.122,9.928
0.6059114,0.157,-0.16,9.967
0.6098715,0.157,-0.122,9.967
0.61383164,0.195,-0.122,10.005
0.61779183,0.195,-0.16,10.005
0.62175196,0.233,-0.16,9.967
0.6257122,0.271,-0.199,9.928
0.6296724,0.233,-0.16,10.005
0.633633,0.233,-0.16,10.043
0.63759273,0.233,-0.16,10.043
0.6415523,0.233,-0.122,10.12
0.645512,0.195,-0.16,10.12
0.6494719,0.195,-0.16,10.158
0.65343195,0.195,-0.16,10.12
0.6573922,0.195,-0.199,10.12
0.66135293,0.157,-0.16,10.082
0.66531384,0.118,-0.16,10.043
0.6692749,0.118,-0.16,10.005
0.67323613,0.118,-0.122,9.967
0.6771978,0.08,-0.16,10.005
0.6811586,0.042,-0.16,9.967
0.68511903,0.08,-0.16,9.967
0.68907917,0.08,-0.122,9.967
0.6930395,0.042,-0.16,9.967
0.6970002,0.042,-0.122,9.967
0.70096034,0.08,-0.122,9.967
0.70492065,0.08,-0.122,9.967
0.70888126,0.08,-0.16,9.928
0.7128417,0.08,-0.16,9.928
