TIME,X,Y,Z
0.0,0.846,-0.62,9.775
0.003961246,0.846,-0.62,9.967
0.0079224,0.846,-0.62,9.967
0.011884092,0.808,-0.658,9.89
0.015844785,0.808,-0.62,9.852
0.019805249,0.808,-0.658,9.814
0.023765784,0.808,-0.658,9.775
0.02772693,0.769,-0.658,9.89
0.031687852,0.808,-0.62,9.928
0.03564824,0.808,-0.62,9.967
0.03960917,0.846,-0.658,10.043
0.043570016,0.846,-0.62,10.005
0.047531173,0.884,-0.62,10.005
0.051492278,0.884,-0.582,9.967
0.055452585,0.884,-0.62,9.89
0.059412893,0.884,-0.62,9.852
0.063373074,0.923,-0.582,9.89
0.06733307,0.961,-0.543,9.967
0.07129346,0.961,-0.543,10.043
0.075254016,0.999,-0.543,10.12
0.079214245,0.961,-0.582,10.12
0.083174326,0.961,-0.582,10.082
0.087134734,0.923,-0.543,10.043
0.09109512,0.961,-0.582,10.005
0.09505543,0.923,-0.62,9.852
0.0990157,0.923,-0.62,9.775
0.10297616,0.961,-0.62,9.699
0.10693685,0.923,-0.62,9.66
0.11089718,0.923,-0.62,9.699
0.1148578,0.923,-0.62,9.699
0.11881803,0.923,-0.62,9.814
0.12277813,0.884,-0.658,9.89
0.1267386,0.884,-0.62,10.005
0.13069883,0.884,-0.582,10.082
0.1346593,0.884,-0.62,10.197
0.13862024,0.846,-0.658,10.235
0.14258076,0.884,-0.658,10.082
0.14654118,0.846,-0.62,10.082
0.15050173,0.846,-0.62,9.967
0.15446258,0.769,-0.658,9.89
0.158423,0.808,-0.62,9.89
0.16238385,0.808,-0.697,9.89
0.1663447,0.808,-0.697,9.89
0.1703052,0.731,-0.697,9.967
0.17426613,0.693,-0.658,10.005
0.17822681,0.693,-0.658,10.005
0.18218738,0.654,-0.697,10.005
0.18614776,0.616,-0.658,9.967
0.1901083,0.654,-0.697,9.928
0.19406918,0.654,-0.735,9.928
0.19803001,0.578,-0.697,9.928
0.20199086,0.654,-0.735,9.928
0.20595175,0.654,-0.735,9.967
0.20991243,0.654,-0.735,9.928
0.21387297,0.693,-0.735,9.928
0.21783362,0.731,-0.697,9.928
0.22179438,0.769,-0.697,9.928
0.22575592,0.769,-0.658,9.967
0.22971718,0.846,-0.735,10.043
0.23367788,0.884,-0.658,10.12
0.23763895,0.923,-0.697,10.082
0.24159995,0.961,-0.62,10.082
0.24555987,0.999,-0.62,10.12
0.24952042,1.037,-0.62,10.12
0.25348127,1.037,-0.582,10.12
0.25744182,1.037,-0.62,10.043
0.26140288,1.037,-0.582,10.005
0.26536313,1.037,-0.543,10.043
0.26932353,1.037,-0.582,10.043
0.2732839,0.999,-0.582,9.967
0.27724415,0.999,-0.582,9.967
0.28120437,0.961,-0.582,9.967
0.28516492,0.961,-0.582,10.005
0.28912514,0.923,-0.582,9.967
0.2930857,0.884,-0.62,10.005
0.29704624,0.923,-0.658,10.043
0.30100623,0.846,-0.697,10.043
0.30496696,0.884,-0.697,10.043
0.30892757,0.846,-0.658,9.967
0.31288856,0.846,-0.697,10.005
0.31684995,0.808,-0.697,10.005
0.32081088,0.846,-0.697,9.967
0.32477206,0.808,-0.735,10.043
0.32873273,0.808,-0.697,10.005
0.33269414,0.769,-0.735,9.967
0.33665475,0.769,-0.697,9.967
0.34061506,0.769,-0.658,10.043
0.3445759,0.731,-0.697,10.043
0.34853637,0.731,-0.658,10.043
0.35249683,0.693,-0.697,10.005
0.35645738,0.693,-0.697,9.967
0.36041778,0.654,-0.658,9.928
0.36437818,0.654,-0.697,9.89
0.36833894,0.616,-0.735,9.814
0.3722993,0.616,-0.697,9.852
0.37626016,0.616,-0.697,9.852
0.38022047,0.578,-0.658,9.89
0.3841808,0.616,-0.697,9.928
0.3881413,0.616,-0.658,9.967
0.39210194,0.54,-0.697,10.043
0.39606282,0.616,-0.658,10.043
0.40002388,0.616,-0.658,10.082
0.40398556,0.616,-0.658,10.082
0.40794677,0.616,-0.658,10.082
0.41190758,0.654,-0.658,10.043
0.4158679,0.616,-0.658,10.082
0.41982797,0.616,-0.658,10.005
0.42378876,0.616,-0.658,10.082
0.42774922,0.578,-0.658,10.043
0.4317096,0.616,-0.658,10.043
0.4356706,0.578,-0.658,10.043
0.43963152,0.54,-0.658,10.12
0.44359222,0.54,-0.658,10.12
0.44755292,0.54,-0.658,10.082
0.4515137,0.463,-0.658,10.082
0.45547423,0.425,-0.62,10.043
0.45943516,0.425,-0.658,9.928
0.46339577,0.386,-0.658,9.967
0.4673564,0.386,-0.658,9.928
0.47131708,0.348,-0.697,9.89
0.47527835,0.271,-0.697,9.852
0.47923902,0.31,-0.697,9.928
0.4831994,0.31,-0.697,9.928
0.48716033,0.31,-0.697,9.928
0.49112126,0.271,-0.658,9.928
0.49508157,0.271,-0.658,9.967
0.49904218,0.271,-0.697,9.967
0.50300264,0.31,-0.658,9.928
0.5069634,0.271,-0.658,9.89
0.51092434,0.31,-0.658,9.928
0.51488477,0.31,-0.62,9.967
0.5188455,0.31,-0.62,9.928
0.5228061,0.31,-0.62,9.967
0.5267673,0.31,-0.582,10.005
0.53072846,0.348,-0.62,9.967
0.53469014,0.31,-0.582,10.005
0.5386514,0.348,-0.582,10.043
0.54261243,0.31,-0.62,10.043
0.54657346,0.348,-0.582,10.043
0.5505344,0.348,-0.62,9.967
0.55449516,0.348,-0.62,9.852
0.5584562,0.348,-0.658,9.89
0.5624169,0.348,-0.697,9.852
0.5663777,0.348,-0.658,9.814
0.57033837,0.348,-0.697,9.852
0.5742986,0.348,-0.658,9.928
0.57825935,0.386,-0.697,9.928
0.58222014,0.348,-0.697,9.89
0.58618075,0.386,-0.697,9.89
0.5901421,0.386,-0.697,9.967
0.5941034,0.386,-0.697,9.967
0.5980643,0.348,-0.658,10.005
0.6020256,0.386,-0.697,10.043
0.6059869,0.348,-0.658,10.005
0.6099479,0.348,-0.62,10.043
0.6139089,0.31,-0.62,10.043
0.6178696,0.31,-0.658,10.005
0.6218307,0.271,-0.62,9.967
0.6257918,0.271,-0.582,9.967
0.6297529,0.271,-0.582,9.928
0.63371414,0.233,-0.582,9.928
0.6376753,0.233,-0.582,9.89
0.64163643,0.195,-0.582,9.852
0.6455979,0.157,-0.543,9.89
0.649559,0.157,-0.543,9.967
0.65351975,0.157,-0.582,9.967
0.65748054,0.195,-0.505,9.967
0.66144115,0.157,-0.543,10.005
0.66540134,0.118,-0.543,10.005
0.6693623,0.157,-0.543,10.005
0.6733232,0.157,-0.582,10.005
0.6772839,0.118,-0.582,10.005
0.6812441,0.118,-0.582,9.967
0.6852046,0.118,-0.658,9.967
0.6891653,0.08,-0.62,9.967
0.6931259,0.118,-0.658,10.005
0.69708616,0.08,-0.658,9.928
0.7010464,0.042,-0.658,9.928
0.70500684,0.08,-0.658,9.89
0.7089677,0.118,-0.62,9.928
0.7129293,0.118,-0.697,9.928
0.71689075,0.08,-0.658,9.928
0.7208522,0.08,-0.62,9.928
0.724814,0.118,-0.658,9.928
0.7287742,0.118,-0.582,10.005
0.7327347,0.118,-0.62,10.005
0.73669493,0.118,-0.582,9.967
0.7406548,0.118,-0.62,9.967
0.74461454,0.157,-0.582,10.043
0.74857485,0.157,-0.582,9.967
0.75253546,0.157,-0.582,9.967
0.75649554,0.118,-0.582,9.967
0.7604559,0.118,-0.582,9.967
0.7644157,0.157,-0.582,9.928
0.7683757,0.118,-0.582,9.89
0.7723362,0.157,-0.62,9.928
0.7762967,0.157,-0.658,9.928
0.7802573,0.157,-0.62,10.005
0.7842181,0.118,-0.658,10.005
0.7881791,0.157,-0.658,10.005
0.79213935,0.157,-0.62,10.005
0.79609996,0.118,-0.658,10.043
0.8000603,0.157,-0.658,10.043
0.8040209,0.157,-0.658,10.043
0.8079816,0.118,-0.697,10.005
0.8119424,0.157,-0.697,10.043
0.8159032,0.118,-0.658,10.043
0.81986356,0.118,-0.658,10.043
0.8238248,0.08,-0.697,10.005
0.82778525,0.118,-0.658,9.928
0.8317462,0.118,-0.697,9.928
0.8357069,0.08,-0.735,9.928
0.8396676,0.118,-0.697,9.852
0.8436286,0.157,-0.735,9.852
0.84758914,0.118,-0.735,9.814
0.85154957,0.118,-0.697,9.814
0.8555098,0.118,-0.735,9.928
0.8594707,0.118,-0.697,9.928
0.86343116,0.157,-0.62,9.967
0.8673923,0.118,-0.658,9.967
0.87135273,0.157,-0.62,9.928
0.87531304,0.195,-0.62,9.928
0.8792742,0.195,-0.582,9.852
0.8832346,0.233,-0.582,9.89
0.8871953,0.233,-0.543,9.928
0.8911564,0.271,-0.543,9.967
0.89511764,0.233,-0.543,10.005
0.89907855,0.233,-0.505,10.005
0.903039,0.271,-0.543,9.928
0.9069994,0.271,-0.582,9.928
0.9109605,0.31,-0.543,9.928
0.91492105,0.271,-0.582,9.928
0.91888154,0.31,-0.62,9.89
0.92284244,0.271,-0.62,9.89
0.926803,0.271,-0.62,9.852
0.93076366,0.271,-0.62,9.852
0.93472457,0.31,-0.658,9.814
0.9386849,0.31,-0.697,9.775
0.9426455,0.31,-0.658,9.814
0.9466062,0.271,-0.658,9.852
