TIME,X,Y,Z
0.0,2.186,-0.045,10.197
0.003956769,2.071,-0.045,9.545
0.007913857,2.148,-0.045,9.775
0.011871165,2.11,-0.045,9.737
0.015828164,2.148,-0.045,9.737
0.01978541,2.148,-0.007,9.737
0.023743026,2.148,-0.084,9.737
0.02770018,2.148,-0.045,9.737
0.031657185,2.148,-0.045,9.775
0.035613723,2.186,-0.084,9.775
0.039570875,2.148,-0.084,9.852
0.043527912,2.148,-0.084,9.814
0.047484446,2.148,-0.045,9.814
0.05144145,2.148,-0.007,9.814
0.055398468,2.148,-0.045,9.775
0.05935524,2.11,-0.007,9.775
0.06331193,2.11,-0.045,9.775
0.06726872,2.148,-0.007,9.814
0.07122511,2.11,0.03,9.775
0.07518165,2.11,-0.007,9.775
0.079138674,2.11,-0.045,9.737
0.083095826,2.11,-0.007,9.775
0.08705221,2.148,-0.007,9.775
0.091009006,2.148,-0.007,9.852
0.09496562,2.11,0.03,9.814
0.09892254,2.148,0.03,9.814
0.10287911,2.148,-0.007,9.852
0.106835485,2.148,-0.007,9.852
0.11079218,2.148,0.03,9.814
0.11474858,2.148,0.03,9.852
0.11870574,2.148,-0.007,9.814
0.12266266,2.148,-0.045,9.775
0.12661938,2.11,-0.045,9.814
0.13057646,2.11,-0.007,9.737
0.13453345,2.071,-0.084,9.775
0.13849026,2.11,-0.045,9.737
0.14244664,2.071,-0.084,9.737
0.14640242,2.071,-0.084,9.737
0.15035897,2.071,-0.122,9.814
0.15431605,2.033,-0.084,9.852
0.15827276,2.071,-0.084,9.852
0.1622297,1.995,-0.084,9.89
0.16618624,2.033,-0.122,9.852
0.17014232,2.033,-0.122,9.814
0.17409857,2.033,-0.045,9.737
0.17805535,1.995,-0.084,9.699
0.18201226,1.995,-0.045,9.699
0.18596865,1.995,-0.084,9.66
0.18992512,1.995,-0.084,9.699
0.19388181,2.033,-0.045,9.737
0.19783853,2.033,-0.045,9.737
0.20179552,2.033,-0.084,9.814
0.20575261,2.033,-0.045,9.814
0.2097094,2.071,-0.045,9.775
0.21366648,2.071,-0.045,9.814
0.21762349,2.071,-0.007,9.814
0.22158027,2.071,0.03,9.775
0.22553688,2.071,-0.045,9.775
0.22949326,2.11,-0.007,9.775
0.23344935,2.033,-0.007,9.814
0.23740613,2.071,-0.007,9.814
0.24136229,2.11,-0.007,9.852
0.24531914,2.071,-0.045,9.852
0.2492763,2.071,-0.045,9.814
0.25323376,2.071,-0.045,9.814
0.25719032,2.033,-0.007,9.852
0.2611467,2.033,-0.084,9.814
0.26510322,2.071,-0.084,9.814
0.2690607,2.033,-0.084,9.852
0.27301824,2.071,-0.045,9.775
0.27697578,2.071,-0.122,9.814
0.28093264,2.071,-0.045,9.775
0.284889,2.11,-0.084,9.814
0.28884602,2.11,-0.084,9.775
0.29280344,2.11,-0.007,9.737
0.2967606,2.11,-0.045,9.775
0.3007168,2.11,-0.045,9.699
0.30467367,2.148,-0.045,9.699
0.3086302,2.11,-0.045,9.737
0.31258705,2.11,-0.007,9.737
0.3165436,2.11,-0.045,9.775
0.32050037,2.11,-0.007,9.699
0.324457,2.11,-0.045,9.737
0.3284133,2.071,-0.007,9.699
0.33237025,2.11,-0.045,9.737
0.33632684,2.11,-0.045,9.775
0.34028372,2.11,-0.045,9.737
0.34424108,2.11,-0.045,9.775
0.34819862,2.11,-0.084,9.775
0.35215604,2.11,-0.045,9.737
0.35611334,2.11,-0.045,9.737
0.36006978,2.148,-0.084,9.737
0.36402604,2.11,-0.045,9.737
0.36798328,2.186,-0.007,9.699
0.37194028,2.11,-0.045,9.737
